SEASON,"Series 
Code",MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
WS 2023,,August,II,Quirino,Diffun,Cajel,16.54858,121.5307,Bush Sitao,,1,Tudo,Reproductive,Aphids,1,1,5,,,1,0,Advised farmers to spray insecticide for management,,,2,2023
WS 2023,,August,II,Quirino,Diffun,Cajel,16.5488,121.5306,Eggplant,,2,"Calixto, Morena",Reproductive,Fruit Borer,2,2,5,,,2,0,Advised farmers to spray insecticide for management,,,3,2023
WS 2023,,September,II,Isabela,Ilagan City,Sindun Maride,17.06801,121.9856,Cassava,,50,Rayong 72,Maturity,Brown spot,50,35,20,,,0,0,Advised farmers to harvest,,,20,2023
WS 2023,,September,II,Isabela,Ilagan City,17-21,17.06878,121.9761,Cassava,,45,Rayong 72,Maturity,Cassava Phytoplasma Disease,45,20,25,,,0,0,Advised farmers to harvest,,,20,2023
WS 2023,,September,II,Isabela,Ilagan City,9-11,17.07166,121.9729,Cassava,,50,KU 50,Maturity,Mealy bug,50,30,10,,,0,0,Advised farmers to harvest,,,20,2023
WS 2023,,September,II,Isabela,Ilagan City,17-21,17.06817,121.983,Cassava,,45,KU 50,Maturity,Mosaic,45,10,5,,,0,0,Advised farmers to harvest,,,12,2023
WS 2023,,September,II,Isabela,Aurora,Bannagao,16.99758,121.639141,Eggplant,,5,Long purple,Fruiting,Shoot Borer,5,5,10,,,5,_,Advised farmers to spray BCAs to manage the infestation of shoot borer.,Continuous monotoring,Continuous monotoring,8,2023
WS 2023,,September,II,Isabela,Jones,Linamanan,16.52697,121.652015,Eggplant,,1,Calixto F1,Fruiting,Shoot Borer,1,3,30,,,1,_,Advised farmers to use appropriate insecticide for the management of shoot borer.,,,6,2023
WS 2023,,September,II,Isabela,Aurora,Bannagao,16.99758,121.639141,Eggplant,,5,Long purple,Fruiting,Fruit borer,5,5,10,,,5,_,Advised farmers to spray BCAs to manage the infestation of fruit borer.,Continuous monotoring,Continuous monotoring,8,2023
WS 2023,,September,II,Isabela,Aurora,Bagong Tanza,16.9811,121.617397,Eggplant,,5,Long purple,Fruiting,Fruit borer,5,3,10,,,3,_,Advised farmers to spray BCAs to manage the infestation of fruit borer.,Continuous monotoring,Continuous monotoring,4,2023
WS 2023,,September,II,Isabela,Aurora,Bagong Tanza,16.97655,121.609242,Calamansi,,30,Calamondin,Fruiting,Gummosis,30,10,5,,,_,10,"Advised farmers to conduct pruning or removing the dark, diseased bark.",,,10,2023
WS 2023,,September,II,Isabela,Aurora,Kalabaza,16.98306,121.646572,Calamansi,,15,Calamondin,Fruiting,Gummosis,15,8,5,,,_,8,"Advised farmers to conduct pruning or removing the dark, diseased bark.",,,10,2023
WS 2023,,September,II,Isabela,Aurora,Macatal,16.9782,121.627251,Calamansi,,25,Calamondin,Fruiting,Gummosis,25,10,5,,,_,10,"Advised farmers to conduct pruning or removing the dark, diseased bark.",,,12,2023
WS 2023,,September,II,Isabela,Aurora,Kalabaza,16.97828,121.627186,Ampalaya,,1,Galaxy,Fruiting,Fruit fly,1,1,5,,,1,_,Advised farmers to put attractant for management.,,,2,2023
WS 2023,,September,II,Nueva Vizcaya,Diadi,Duruarog,16.617225,121.388863,Ginger,,6.06,Hawaii,Vegetative,Bacterial wilt,6.06,1.2,5,,,1.2,,DA provides fungicide for the management of bactereial wilt.,,,12,2023
WS 2023,,September,II,Isabela,Aurora,Bannagao,17.002556,121.693797,Eggplant,,3,Longpurple,Fruiting,Fruit borer,3,3,10,,,3,_,Advised farmers to spray BCAs to manage the infestation of fruit borer.,,,5,2023
WS 2023,,September,II,Isabela,Reina Mercedes,Banquero,17.024747,121.775625,Mungbean,,1,MG 29,Fruiting,Pod borer,1,1,15,,,0.5,_,Advised farmers to spray BCAs to manage the infestation of Pod borer.,,,1,2023
WS 2023,,September,II,Isabela,Luna,Sto. Domingo,17.021724,121.740826,Bottle gourd,,0. 5,Mayumi F1,Fruiting,Fruit fly,0. 5,0.5,15,,,0.5,_,Advised farmers to spray BCAs to manage the infestation of fruit fly.,,,1,2023
WS 2023,,September,II,Isabela,Cabatuan,"Sitio Malasin, Brgy. Macalaoat",16.966277,121.641035,Eggplant,,1,Calixto F1,Fruiting Stage,Fruit Borer,1,0.2,10,,,1,_,Advised farmers to prune the infested parts and spray insecticide to control the infestation of fruit borer.,Continuous monitoring.,Continuous monitoring.,3,2023
WS 2023,,September,II,Isabela,Cabatuan,"Sitio Malasin, Brgy. Macalaoat",16.966343,121.641003,Eggplant,,1,Calixto F1,Fruiting Stage,Shoot Borer,1,0.3,10,,,1,_,Advised farmers to prune the infested parts and spray insecticide to control the infestation of shoot borer.,Continuous monitoring.,Continuous monitoring.,3,2023
WS 2023,,October,II,Isabela,Aurora,Macatal,16.962921,121.596535,Eggplant,,3.5,Longpurple,Fruiting,Shoot Borer,3.5,3.5,10,,,3.5,_,Advised farmers to spray insecticide to manage the infestation of shoot borer.,,,5,2023
WS 2023,,October,II,Isabela,Aurora,Macatal,16.964712,121.605522,String beans,,1.2,Bongga,Fruiting,Aphids,1.2,1.2,15,,,1.2,_,Advised farmers to spray insecticide to manage the infestation of aphids.,,,5,2023
WS 2023,,October,II,Isabela,Aurora,San Andres,16.962643,121.595676,String beans,,0.5,Pantastiko,Fruiting,Aphids,0.5,0.5,15,,,0.5,_,Advised farmers to spray insecticide to manage the infestation of aphids.,,,2,2023
WS 2023,,October,II,Isabela,Aurora,Macatal,16.963181,121.605137,Kalamansi,,5.5,Calamondin,Fruiting,Gummosis,5.5,5.5,5,,,2,3.5,Advised farmers to conduct pruning.,,,5,2023
WS 2023,,October,II,Isabela,Aurora,San Andres,121.962756,121.595242,Kalamansi,,5,Calamondin,Fruiting,Gummosis,5,5,5,,,2,3,Advised farmers to conduct pruning.,,,8,2023
WS 2023,,October,II,Isabela,Aurora,Apiat,16.95969,121.593753,Kalamansi,,10,Calamondin,Fruiting,Gummosis,10,10,5,,,3,7,Advised farmers to conduct pruning.,,,18,2023
WS 2023,,October,II,Isabela,Aurora,Apiat,16.961461,121.596812,Upo,,2.5,Mayumi F1,Fruiting,Fruit fly,2.5,2.5,5,,,1.5,1,Advised farmers to put up insect traps.,,,8,2023
WS 2023,,October,II,Isabela,Aurora,Bagong Tanza,16.97506,121.618914,Ampalaya,,0.5,Galaxy,Fruiting,Fruit fly,0.5,0.5,5,,,0.5,_,Advised farmers to put up insect traps.,,,2,2023
WS 2023,,October,II,Isabela,Aurora,Bagong Tanza,16.971972,121.61322,Eggplant,,3.5,Longpurple,Fruiting,Fruit fly,3.5,3.5,5,,,3.5,_,Advised farmers to spray insecticide for the management of fruit fly.,,,5,2023
WS 2023,,October,II,Isabela,Aurora,Macatal,16.965528,121.601747,Upo,,1.5,Mayumi F1,Fruiting,Fruit fly,1.5,1.5,10,,,1.5,_,Advised farmers to put up insect traps.,,,7,2023
WS 2023,,October,II,Isabela,Roxas,San Pedro,17.1734,121.61605,Luffa Squash(Kabatiti),,0.2,Primera Grande F1,Flowering,Leaf Miner,0.2,0.2,5,,,0.2,0,Advice Farmer to spray insecticide and close monitoring,,,1,2023
WS 2023,,October,II,Isabela,Jones,Payac,16.5759,121.69127,Cacao,,1,k9,Fruiting,Pod borer,1,0.1,10,,,,1,advice farmer spray BIO-control agents for the management pest of cacao,,,1,2023
WS 2023,,October,II,Isabela,Mallig,San Jose sur,17.187995,121.572297,Onion,,3.2,Red Dragon/Golden Pinoy,Vegetative,Onion flies/Mole cricket,3.2,3.2,10,,,3.2,0,Advised farmers to spray insectide and apply BCAs.,,,1,2023
WS 2023,,October,II,Isabela,Mallig,San Jose sur,17.189403,121.57837,Squash,,2.2,Malandi/Sofia,Seedling,Squash Lady Beetle,2.2,2.2,15,,,2.2,0,Advised farmers to spray insectide and apply BCAs.,,,3,2023
WS 2023,,October,II,Isabela,Mallig,San Jose sur,17.188858,121.578608,Bitter Gourd,,1.7,Galaxy Max F1,Vegetative,Fruit fly,1.7,1.7,10,,,1.7,0,Advised farmers to spray insectide and apply BCAs.,,,3,2023
WS 2023,,October,II,Isabela,Ramon,Burgos,16.801795,121.519107,Cacao,,5,"W10,Br25, PBC 123, CF18",Fruiting Stage,Pod rot,5,0.5,10,,,5,,Advised farmer to spray fungicide to control the infection caused by pod rot and we also advised to do a close monitoring.,RCPC distributed fungicide for the management of the disease (rodomil Gold) @ 5 kgs.,RCPC distributed fungicide for the management of the disease (rodomil Gold) @ 5 kgs.,1,2023
WS 2023,,October,II,Isabela,Ramon,Burgos,16.802032,121.519107,Cacao,,5,"W10,Br25, PBC 123, CF18",Fruiting Stage,Aphids,5,0.1,5,,,5,,Advised farmer to spraying insecticide to control the infestation of aphids and we advised to conduct a close monitoring.,,,1,2023
WS 2023,,October,II,Isabela,Reina Mercedes,Binarsang,17.030537,121.74992,Bottle gourd,,0.5,Mayumi,Fruiting,Fruit fly,0.5,0.5,15,,,0.5,0,Advised farmers to spray insecticide to management the incidence of fruit fly.,"Revalidation (October 27, 2023)","Revalidation (October 27, 2023)",2,2023
WS 2023,,October,II,Isabela,Reina Mercedes,Binarsang,17.031391,121.75168,Pole Sitao,,1.5,Fantastico,Fruiting,Aphids,1.5,1.5,15,,,1.5,0,Advised farmers to spray insecticide to management the incidence of aphids..,"Revalidation (October 27, 2023)","Revalidation (October 27, 2023)",7,2023
WS 2023,,October,II,Isabela,Aurora,Diamantina,16.995866,121.655,Eggplant,,1.5,Longpurple,Vegetative,Fruit borer,1.5,1.5,10,,,1.5,0,Advised farmers to spray insecticide to management the incidence of fruit borer.,,,2,2023
WS 2023,,November,II,Isabela,Aurora,Dalig Kalinga,17.004108,121.70049,Eggplant,,2,Longpurple,Fruiting,Fruit borer,2,2,15,,,2,0,Advised farmers to spray insecticide to management the incidence of fruit borer.,,,4,2023
WS 2023,,November,II,Isabela,Roxas,Sinamar,17.175333,121.56104,Sitao,,0.5,Bonga,Fruiting,Leaf Miner,0.5,0.5,30,,,0.5,0,Advised farmers to spray insecticide to manage the infestation of leaf miner.,,,2,2023
WS 2023,,November,II,Isabela,Roxas,Marcos,17.172082,121.59733,Tomato,,2,Diamante Max,Flowering,Fruit fly,2,2,5,,,2,0,DA RCPC 02 provides insecticide (Gold) for the management of fruit fly.,,,2,2023
WS 2023,,November,II,Isabela,Mallig,San Jose Sur,17.188472,121.57318,Onion,,3.2,Red Dragon,Vegetative,Onion Flies,3.2,3.2,3,,,3.2,0,DA-RCPC provides insecticide (Gold insecticide) and 150 cards of Trichogramma for the management of onion flies.,,,2,2023
WS 2023,,November,II,Nueva Vizcaya,Bagabag,Bakir,16.638304,121.22509,Onion,,0.33,Super pinoy,Vegetative,Twister,0.33,0.33,10,,,0.33,0,DA RCPC provides lure for the management of twister.,,,2,2023
WS 2023,,November,II,Nueva Vizcaya,Bagabag,Paniki,16.405285,121.21257,Onion,,6.5,Shallot batanes red,Vegetative,Twister,6.5,6.5,10,,,6.5,0,DA RCPC provides lure for the management of twister.,,,2,2023
WS 2023,,November,II,Nueva Vizcaya,Bagabag,Nangalisan,16.634385,121.19632,Onion,,0.35,Super pinoy,Vegetative,Twister,0.35,0.35,10,,,0.35,0,DA RCPC provides lure for the management of twister.,,,1,2023
DS 2021-2022,,November,II,Cagayan,Tuguegarao City,Carig Sur,17.6622,121.7483,Eggplant,,5,Fortuner,Fruiting Stage,Fruit borer/ Top Borer/ Aphids,,5,6,9,,5,0,Validated and recommended farmers to spray organic insecticide and Advised Farmers to follow application of BCA's,,"November 19, 2021",2,2021
DS 2021-2022,,November,II,Cagayan,Tuguegarao City,Carig Sur,17.6622,121.7483,Pole Sitao,,,Fortuner,Fruiting Stage,Fruit borer/ Top Borer/ Aphids,,,5,9,,,,,,,,2021
DS 2021-2022,,November,ii,Cagayan,Solana,Cadaanan,17.6122,121.6364,Eggplant,,5,Morena,Fruiting Stage,Fruit borer/ Top Borer,,5,6,9,,5,0,Validated and recommended farmers to spray organic insecticide and Advised Farmers to follow application of BCA's,,"November 19, 2021",3,2021
DS 2021-2022,,February,II,Quirino,Aglipay,Malumin,16.471325,121.602761,Water Melon,,6.5,Sweet 166,Flowering,Blight,,6.5,15,9,,6.5,0,Validated and recommended farmers to spray fungicide.,,"February 4, 2021",9,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,San Leonardo,16.39329,121.07754,Onion,,1,"Red Pinoy, Red Dragon",50 days,"Cutworm, Armyworm",,1,60,9,,1,0,Validated and recommended farmers to spray Insectice.,,"February 4, 2021",1,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Dupax del sur,Gabut,16.322343,121.322343,Onion,,8.55,"Red Pinoy, Red Dragon",61 days,"Cutworm, Armyworm",,8.55,10,9,,8.55,0,DA provided Insecticide for management,,"February 4, 2021",14,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,San Leonardo,16.39329,121.07754,Onion,,5,"Red Pinoy, Red Dragon",50 days,"Cutworm, Armyworm",,5,30,9,,5,0,Validated and recommended farmers to spray Insectice.,,"February 12, 2021",20,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,Manamtam,16.401494,121.082322,Onion,,15,"Red Pinoy, Red Dragon",55 days,"Cutworm, Armyworm",,5,10,9,,5,0,Validated and BPI provided chemicals.,,"Ferbruary 18, 2022",13,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Aritao,Nagcuartelan,16.272866,121.021173,Onion,,60,"Red Pinoy, Red Dragon",52 days,Twister,,0.5,20,9,,0.5,0,Validated aand recommended farmer to spray fungicide,,"Ferbruary 18, 2022",1,2021
DS 2021-2022,,February,II,Cagayan,Gonzaga,Magrafil,18.287287,122.07193,Water Melon,,2.25,Golden Boy,Vegetative,Melon Worm,,2.25,10,9,,2.5,0,Validated aand recommended farmer to spray Insecticide,,"February 26, 2022",1,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,Sto Domingo,16.405333,121.099092,Onion,,15,"Red Allium, Red Pinoy, Red Dragon",Reproductive,"Cutworm, Armyworm",,6,30,9,,6,0,DA-NVES and DA-RCPC 02 provided chemicals for initial management,,"February 26, 2022",1,2021
DS 2021-2022,,February,II,Cagayan,Tuguegarao City,Linao Norte,17.655614,121.72653,Eggplant,,2,Bnate king F1,Flowering,Shoot Borer,,0.75,20,9,,0.75,0,Validated and recommended farmer to spray Insecticide,,"March 4, 2022",1,2021
WS 2023,,May,II,Isabela,Cauayan  City,Faustino,16.916766,121.626639,Eggplant,,0.4,"Fortuner F1, Calixto F1",Fruiting Stage,Fruit borer,,0.02,5,9,,0.4,0,Farmers Sprayed insecticide to control fruit borer.,,"May 19, 2023",1,2021
WS 2023,,May,II,Cagayan,Sta. Ana,Sitio Racat Rapuli,18.407023,122.13657,Pineapple,,13,Hawaian,Fruiting Stage,White Grub,,9.3,15,9,,_,_,The DA-RCPC advise the farmers to apply insecticide/Farmers already apply management before the validation/Late Reported,,"May 10, 2023",9,
WS 2023,,May,II,Cagayan,Sta. Ana,Sitio Racat Rapuli,18.411359,122.15111,Pineapple,,13,Hawaian,Fruiting Stage,Mealy bug,,2.5,10,9,,_,_,The DA-RCPC advise the farmers to apply insecticide/Farmers already apply management before the validation/Late Reported,,"May 10, 2023",3,
WS 2023,,June,II,Isabela,Burgos,Dalig Viejo,17.0314,121.717,Calamansi,,9,Calamondin,Fruiting Stage,Gummosis,,9,5,9,,,9,Advised farmers to conduct pruning to control the gummosis disease.,,"June 7, 2023",13,
WS 2023,,June,II,Isabela,Burgos,Bacnor East,17.0286,121.7127,Calamansi,,7,Calamondin,Fruiting Stage,Gummosis,,7,5,9,,,7,Advised farmers to conduct pruning to control the gummosis disease.,,"June 7, 2023",14,
WS 2023,,June,II,Isabela,Burgos,Catabban,17.0337,121.7432,Calamansi,,5,Calamondin,Fruiting Stage,Gummosis,,5,5,9,,,5,Advised farmers to conduct pruning to control the gummosis disease.,,"June 07, 2023",7,
WS 2023,,June,II,Isabela,Aurora,Calabaza,16.9781,121.6273,Calamansi,,15,Calamondin,Fruiting Stage,Gummosis,,15,5,9,,,15,Advised farmers to conduct pruning to control the gummosis disease.,,"June 7, 2023",21,
WS 2023,,June,II,Isabela,Aurora,Macatal,16.9649,121.6007,Calamansi,,18,Calamondin,Fruiting Stage,Gummosis,,18,5,9,,,18,Advised farmers to conduct pruning to control the gummosis disease.,,"June 7, 2023",23,
WS 2023,,June,II,Isabela,Aurora,San Andres,16.9656,121.5917,Calamansi,,20,Calamondin,Fruiting Stage,Gummosis,,20,5,9,,,20,Advised farmers to conduct pruning to control the gummosis disease.,,"June 7, 2023",28,
