SEASON,"Series 
Code",MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
WS 2019,,July,II,Cagayan,Baggao,Asinga-Via,17.8653,121.9826,Corn,,1,NK 6410,Whorl Stage,Leaf Spot,1,1,0.5,,,1,0,,,,,2019
WS 2019,,July,II,Quirino,Aglipay,Ligaya,16.4929,121.5849,Corn,,2,F2,Whorl Stage,Leaf Spot,2,2,0.5,,,2,0,,,,,2019
WS 2019,,July,II,Cagayan,Baggao,Barsat West,17.9487,121.8414,Corn,,1,NK 6410,Reproductive Stage,Stalk Rot,1,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Lannig,17.639,121.6471,Corn,,2,Bioseed,Whorl Stage,FAW,2,2,20,,,2,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Piat,Maguilling,17.7682,121.494,Corn,,0.6,Bioseed,Whorl Stage,FAW,0.6,0.6,8,,,0.6,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Piat,Maguilling,17.7682,121.494,Corn,,1,Bioseed,Whorl Stage,FAW,1,1,18,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Tuao,San Luis,17.6767,121.4566,Corn,,6.5,Bioseed,Whorl Stage,FAW,6.5,6.5,34,,,6.5,0,,,,,2019
WS 2019,,August,II,Quirino,Maddela,San Salvador,16.4102,121.6824,Corn,,12.5,NK 6014/Pioneer/Cornworld/F2,Reproductive Stage,Banded Sheath Blight,12.5,12.5,1,,,12.5,0,,,,,2019
WS 2019,,August,II,Cagayan,Alcala,Pared,17.8998,121.6844,Corn,,0.4,Clarisa F1,Whorl Stage,FAW,0.4,0.4,10,,,0.4,0,,,,,2019
WS 2019,,August,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.3,Clarisa F1,Whorl Stage,FAW,0.3,0.3,10,,,0.3,0,,,,,2019
DS 2019-2020,,December,II,Isabela,Aurora,Malasin,16.99132,121.675712,Corn,,3.1,Corn World (CWY 125/CWY 403),Whorl Stage,FAW,3.1,3.1,20,,,3.1,0,,,,,2019
DS 2019-2020,,November,II,Isabela,Tumauini,Malamag West,17.338,121.7855,Corn,,1,Cornword HR8,Whorl Stage,FAW,1,1,4,,,1,0,,,,,2019
WS 2019,,September,II,Quirino,Maddela,San Salvador,16.4102,121.6824,Corn,,0.25,OPV GLUT.,Whorl Stage,CPH,0.25,0.25,1,,,0.25,o,,,,,2019
WS 2019,,September,II,Quirino,Aglipay,Villa Santiago,16.4197,121.6375,Corn,,0.5,OPV GLUT.,Whorl Stage,CPH,0.5,0.5,1,,,0.5,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,San Salvador,16.4102,121.6824,Corn,,0.25,OPV GLUT.,Whorl Stage,CPH,0.25,0.25,1,,,0.25,o,,,,,2019
WS 2019,,September,II,Quirino,Aglipay,Villa Santiago,16.4197,121.6375,Corn,,0.5,OPV GLUT.,Whorl Stage,CPH,0.5,0.5,1,,,0.5,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,San Bernabe,16.385338,121.686565,Corn,,0.25,OPV GLUT.,Whorl Stage,FAW,0.25,0.25,1,,,0.25,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,San Bernabe,16.385338,121.686565,Corn,,0.25,OPV GLUT.,Whorl Stage,FAW,0.25,0.25,1,,,0.25,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,San Salvador,16.4102,121.6824,Corn,,1,NK 8840,Whorl Stage,Leaf Spot,1,1,0.5,,,1,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,Divisoria,16.3945,121.727,Corn,,0.25,,Whorl Stage,Leaf Spot,0.25,0.25,0.5,,,0.25,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,San Salvador,16.4102,121.6824,Corn,,1,NK 8840,Whorl Stage,Leaf Spot,1,1,0.5,,,1,o,,,,,2019
WS 2019,,September,II,Quirino,Maddela,Divisoria,16.3945,121.727,Corn,,0.25,,Whorl Stage,Leaf Spot,0.25,0.25,0.5,,,0.25,o,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.5,Cornworld,Whorl Stage,FAW,0.5,0.5,14,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.8,Cornworld,Whorl Stage,FAW,0.8,0.8,8,,,0.8,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,Cornworld,Whorl Stage,FAW,1,1,8,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,Cornworld,Whorl Stage,FAW,1,1,8,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.75,Cornworld,Whorl Stage,FAW,0.75,0.75,10,,,0.75,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,2.5,Cornworld,Whorl Stage,FAW,2.5,2.5,16,,,2.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,3,Cornworld,Whorl Stage,FAW,3,3,14,,,3,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1.5,Cornworld,Whorl Stage,FAW,1.5,1.5,14,,,1.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.5,Cornworld,Whorl Stage,FAW,0.5,0.5,10,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,Cornworld,Whorl Stage,FAW,1,1,14,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1.5,Cornworld,Whorl Stage,FAW,1.5,1.5,14,,,1.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1.75,Cornworld,Whorl Stage,FAW,1.75,1.75,14,,,1.75,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1.5,Cornworld,Whorl Stage,FAW,1.5,1.5,16,,,1.5,0,,,,,2019
DS 2019-2020,,November,II,Isabela,Tumauini,Fugu Norte,17.3397,121.781,Corn,,1,Dekalb 6919,Whorl Stage,FAW,1,1,8,,,1,0,,,,,2019
DS 2019-2020,,November,II,Isabela,Tumauini,Fugu Norte,17.3397,121.781,Corn,,1,Dekalb 6919,Whorl Stage,FAW,1,1,6,,,1,0,,,,,2019
DS 2019-2020,,October,II,Quirino,Cabarroguis,Villarose,16.4979,121.4802,Corn,,0.2,OPV,Whorl Stage,CPH,0.2,0.2,1,,,0.2,0,,,,,2019
DS 2019-2020,,October,II,Quirino,Aglipay,Villa Santiago,16.4197,121.6375,Corn,,0.5,OPV,Reproductive Stage,Corn Borer,0.5,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,October,II,Quirino,Maddela,San Bernabe,16.385338,121.686565,Corn,,0.25,OPV,Reproductive Stage,Corn Borer,0.25,0.25,1,,,0.25,0,,,,,2019
DS 2019-2020,,October,II,Quirino,Aglipay,Villa Santiago,16.413498,121.64128,Corn,,0.5,OPV,Seedling Stage,FAW,0.5,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,October,II,Cagayan,Tuao,Battung,17.7101,121.4568,Corn,,1,Mais Saka / Evogene,Whorl Stage,Cutworm,1,1,10,,,1,0,,,,,2019
DS 2019-2020,,October,II,Cagayan,Peña blanca,Parabba,17.6535,121.796,Corn,,1,Glut,Whorl Stage,Cutworm,1,1,1,,,1,0,,,,,2019
DS 2019-2020,,October,II,Cagayan,Alcala,Pared,17.8998,121.6844,Corn,,0.5,Sweet Pearl,Reproductive Stage,Earworm,0.5,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,October,II,Cagayan,Tuao,Battung,17.7101,121.4568,Corn,,0.5,EVOGENE,Whorl Stage,FAW,0.5,0.5,33,,,0.5,0,,,,,2019
DS 2019-2020,,October,II,Cagayan,Tuao,Battung,17.7101,121.4568,Corn,,2.5,EVOGENE,Whorl Stage,FAW,2.5,2.5,40,,,2.5,0,,,,,2019
DS 2019-2020,,October,II,Cagayan,Tuao,Battung,17.7101,121.4568,Corn,,0.5,EVOGENE,Whorl Stage,FAW,0.5,0.5,32,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bayombong,Busilac,16.4713,121.1147,Corn,,0.6,Evogene,Whorl Stage,FAW,0.6,0.6,2,,,0.6,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,1,EVOGENE,Whorl Stage,FAW,1,1,16,,,1,0,,,,,2019
DS 2019-2020,,November,II,Isabela,Tumauini,Fugu Norte,17.3397,121.781,Corn,,1,Evogene,Whorl Stage,FAW,1,1,8,,,1,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,Baretbet,16.57797,121.3094,Corn,,2,Evogene,Whorl Stage,FAW,2,2,4,,,2,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,Baretbet,16.57797,121.3094,Corn,,1.3,Evogene,Whorl Stage,FAW,1.3,1.3,4,,,1.3,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,Baretbet,16.57797,121.3094,Corn,,5,Evogene,Whorl Stage,FAW,5,5,4,,,5,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,Baretbet,16.57797,121.3094,Corn,,1.3,Evogene,Whorl Stage,FAW,1.3,1.3,4,,,1.3,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,Baretbet,16.57797,121.3094,Corn,,2,Evogene,Whorl Stage,FAW,2,2,4,,,2,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,Baretbet,16.57797,121.3094,Corn,,1,Evogene,Whorl Stage,FAW,1,1,4,,,1,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,San Pedro,16.6022,121.2578,Corn,,0.9,Evogene,Whorl Stage,FAW,0.9,0.9,4,,,0.9,0,,,,,2019
DS 2019-2020,,December,II,Isabela,Luna,San Isidro,17.0082,121.725,Corn,,2,Evogene,Whorl Stage,FAW,2,2,10,,,2,0,,,,,2019
DS 2019-2020,,December,II,Isabela,Luna,San Isidro,17.0082,121.725,Corn,,1,Evogene,Whorl Stage,FAW,1,1,10,,,1,0,,,,,2019
DS 2019-2020,,December,II,Isabela,Luna,San Isidro,17.0082,121.725,Corn,,3,Evogene,Whorl Stage,FAW,3,3,10,,,3,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Dumabel,16.481,121.5595,Corn,,2,Pioneer,Whorl Stage,CPH,2,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Ligaya,16.4929,121.5849,Corn,,6,NK6410 / Cornworld,Whorl Stage,CPH,6,4.5,1,,,4.5,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Villa Santiago,16.4197,121.6375,Corn,,2,OPV Glut,Whorl Stage,CPH,2,2,1,,,2,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Cabarroguis,Villarose,16.4979,121.4802,Corn,,1,Glut,Whorl Stage,CPH,1,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Maddela,San Bernabe,16.3826,121.6927,Corn,,1.5,OPV Glut,Whorl Stage,CPH,1.5,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Isabela,Aurora,Victoria,16.99003,121.67385,Corn,,0.2,OPV,Whorl Stage,Armyworm,0.2,0.2,1,,,0.2,0,,,,,2019
DS 2019-2020,,November,II,Isabela,Aurora,Saranay,16.977747,121.66464,Corn,,0.8,,Whorl Stage,Armyworm,0.8,0.8,1,,,0.8,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Villa Santiago,16.4197,121.6375,Corn,,0.5,OPV Glut,Maturity,Corn Borer,0.5,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Dumabel,16.481,121.5595,Corn,,2,Pioneer,Whorl Stage,Semi-Looper,2,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Ligaya,16.4929,121.5849,Corn,,1,Cornworld,Whorl Stage,Semi-Looper,1,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Maddela,San Bernabe,16.385338,121.686565,Corn,,5,OPV Glut,Whorl Stage,Semi-Looper,5,4.5,1,,,4.5,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Maddela,Sta. Maria,16.3826,121.6658,Corn,,2,NK6410,Whorl Stage,Semi-Looper,2,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,0.5,Pioneer 4097,Whorl Stage,Cutworm,0.5,0.5,10,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Lannig,17.639,121.6471,Corn,,8,Dekalb 6919,Whorl Stage,Cutworm,8,8,1,,,8,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Piat,Dugayung,17.8076,121.4601,Corn,,2.5,EVOGENE,Whorl Stage,Cutworm,2.5,2.5,1,,,2.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Piat,Aquib,17.798,121.4741,Corn,,0.5,BIOSEED,Whorl Stage,Cutworm,0.5,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Tuao,Alabiao,17.7444,121.4809,Corn,,1,NK 6410,Whorl Stage,Cutworm,1,1,1,,,1,0,,,,,2019
DS 2019-2020,,November,II,Quirino,Aglipay,Villa Santiago,16.4197,121.6375,Corn,,0.5,OPV Glut,Maturity,Earworm,0.5,0.5,1,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Bagabag,San Pedro,16.6022,121.2578,Corn,,0.7,Galvan OPV,Whorl Stage,FAW,0.7,0.7,10,,,0.7,0,,,,,2019
WS 2019,,July,II,Cagayan,Sta. Ana,Palawig,18.4744,122.1509,Corn,,5,Glut,Whorl Stage,FAW,5,5,15,,,5,o,,,,,2019
WS 2019,,September,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.5,Glut,Whorl Stage,FAW,0.5,0.5,5,,,0.5,o,,,,,2019
WS 2019,,September,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.3,Glut,Whorl Stage,FAW,0.3,0.3,5,,,0.3,o,,,,,2019
WS 2019,,September,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.15,Glut,Whorl Stage,FAW,0.15,0.15,5,,,0.15,o,,,,,2019
WS 2019,,September,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.2,Glut,Whorl Stage,FAW,0.2,0.2,10,,,0.2,o,,,,,2019
WS 2019,,September,II,Nueva Vizcaya,Bayombong,Busilac,16.4713,121.1147,Corn,,0.3,Glut,Whorl Stage,FAW,0.3,0.3,5,,,0.3,o,,,,,2019
DS 2019-2020,,October,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.3,Glut,Whorl Stage,FAW,0.3,0.3,10,,,0.3,0,,,,,2019
DS 2019-2020,,October,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.25,Glut,Whorl Stage,FAW,0.25,0.25,10,,,0.25,0,,,,,2019
DS 2019-2020,,October,II,Nueva Vizcaya,Bayombong,Bonfal East,16.4912,121.179,Corn,,0.3,Glut,Whorl Stage,FAW,0.3,0.3,10,,,0.3,0,,,,,2019
DS 2019-2020,,October,II,Nueva Vizcaya,Diadi,Namamparan,16.6536,121.3501,Corn,,0.75,Glut,Whorl Stage,FAW,0.75,0.75,30,,,0.75,0,,,,,2019
DS 2019-2020,,November,II,Nueva Vizcaya,Quezon,Baresbes,16.5015,121.229,Corn,,0.06,Glut,Whorl Stage,FAW,0.06,0.06,6,,,0.06,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,0.75,Glut,Whorl Stage,FAW,0.75,0.75,38,,,0.75,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,1,Glut,Whorl Stage,FAW,1,1,40,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,0.5,Glut,Whorl Stage,FAW,0.5,0.5,42,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,0.5,Glut,Whorl Stage,FAW,0.5,0.5,44,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,0.37,Glut,Reproductive Stage,FAW,0.37,0.37,32,,,0.37,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Solana,Dassun,17.7397781,121.6915433,Corn,,0.5,Glut,Whorl Stage,FAW,0.5,0.5,22,,,0.5,0,,,,,2019
