province,district,municipality,abemis_total_projects,abemis_total_cost,abemis_total_quantity,abemis_avg_cost_per_project,abemis_latest_year,abemis_dominant_project_type,abemis_dominant_project_group,abemis_banner_programs,abemis_project_types,abemis_fmr_projects,abemis_fmr_cost,abemis_irrigation_projects,abemis_irrigation_cost,abemis_postharvest_projects,abemis_postharvest_cost,abemis_protected_cultivation_projects,abemis_protected_cultivation_cost,abemis_food_garden_projects,abemis_food_garden_cost,abemis_livestock_projects,abemis_livestock_cost,abemis_other_projects,abemis_other_cost,abemis_check_dam_count,abemis_chicken_housing_count,abemis_coffee_processing_center_count,abemis_cold_storage_count,abemis_diversion_dam_count,abemis_farm_to_market_road_count,abemis_fertilizer_processing_center_count,abemis_grain_silo_count,abemis_greenhouse_count,abemis_gulayan_sa_barangay_count,abemis_mobile_solar_power_irrigation_unit_count,abemis_multi_commodity_drying_shed_count,abemis_multi_crop_drying_pavement_mcdp_count,abemis_multi_purpose_drying_pavement_count,abemis_mushroom_fruiting_house_count,abemis_nursery_establishment_count,abemis_packinghouse_count,abemis_palay_shed_count,abemis_rabbit_housing_count,abemis_rainshelter_count,abemis_rice_processing_center_count,abemis_school_garden_count,abemis_small_water_impounding_project_count,abemis_solar_powered_fertigation_system_8_count,abemis_solar_powered_irrigation_system_count,abemis_spring_development_count,abemis_swine_housing_count,abemis_vermi_composting_facilities_count,abemis_village_type_corn_postharvest_processing_center_vtcppc_count,abemis_warehouse_count
Cagayan,1st District,Aparri,25,268508777.36,17.70,10740351.09,2023,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Multi-Purpose Drying Pavement | Rice Processing Center | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,14,82633438.14,2,7600522.36,3,178214816.86,0,0.00,6,60000.00,0,0.00,0,0.00,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,1,0,1,0,0,0,0,0
Cagayan,1st District,Baggao,30,136198844.93,23.77,4539961.50,2024,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Gulayan sa Barangay | Multi-Purpose Drying Pavement | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System | Warehouse,15,89524143.07,7,38191719.36,2,8332982.50,0,0.00,6,150000.00,0,0.00,0,0.00,0,0,0,0,2,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,1
Cagayan,2nd District,Ballesteros,25,265209949.64,26.16,10608397.99,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Palay Shed | School Garden | Small Water Impounding Project,18,238258493.07,1,26421885.95,1,479570.62,0,0.00,5,50000.00,0,0.00,0,0.00,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0
Cagayan,1st District,Buguey,7,19343846.47,4.44,2763406.64,2022,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Multi-Purpose Drying Pavement | School Garden | Small Water Impounding Project,4,13915000.00,1,4819922.42,1,598924.05,0,0.00,1,10000.00,0,0.00,0,0.00,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Cagayan,2nd District,Calayan,8,17567004.85,3.84,2195875.61,2017,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | Rice Program,Diversion Dam | Farm-to-Market Road,5,9747832.80,3,7819172.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,1st District,Camalaniugan,19,52664548.20,18.10,2771818.33,2022,Farm-to-Market Road,Food Gardens,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | School Garden | Small Water Impounding Project,7,31990627.00,3,20313921.20,0,0.00,0,0.00,9,360000.00,0,0.00,0,0.00,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
Cagayan,2nd District,Claveria,39,266304259.29,31.74,6828314.34,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | Rice Program,Diversion Dam | Farm-to-Market Road | Gulayan sa Barangay | Rice Processing Center | Small Water Impounding Project | Vermi-Composting Facilities,25,213681080.24,11,52249888.48,1,0.00,1,273290.57,1,100000.00,0,0.00,0,0.00,0,0,0,0,5,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0
Cagayan,3rd District,Enrile,20,132523526.34,17.33,6626176.32,2024,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Gulayan sa Barangay | Mobile Solar Power Irrigation Unit | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,11,101772192.88,5,30621333.46,0,0.00,0,0.00,4,130000.00,0,0.00,0,0.00,0,0,0,0,1,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0
Cagayan,1st District,Gattaran,35,189980921.62,26.73,5428026.33,2024,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | Mobile Solar Power Irrigation Unit | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,18,107920029.58,9,81890892.04,0,0.00,0,0.00,8,170000.00,0,0.00,0,0.00,0,0,0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,0,0,0,0
Cagayan,1st District,Gonzaga,22,75819464.91,17.61,3446339.31,2022,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | Rice Program,Diversion Dam | Farm-to-Market Road | Greenhouse | Multi-Purpose Drying Pavement | School Garden | Solar-Powered Irrigation System | Vermi-Composting Facilities,9,40461483.81,8,33532154.42,1,458351.29,3,1357475.39,1,10000.00,0,0.00,0,0.00,0,0,0,0,7,9,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Cagayan,3rd District,Iguig,20,97449449.82,14.80,4872472.49,2022,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | School Garden | Small Water Impounding Project,11,53082644.52,5,44056805.30,0,0.00,0,0.00,4,310000.00,0,0.00,0,0.00,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
Cagayan,1st District,Lal-lo,26,58562902.87,22.87,2252419.34,2025,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Farm-to-Market Road | Greenhouse | Mushroom Fruiting House | Rice Processing Center | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System | Swine Housing | Vermi-Composting Facilities,10,50408622.50,2,3060910.64,1,0.00,5,4527213.91,7,70000.00,1,496155.82,0,0.00,0,0,0,0,0,10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,7,1,0,1,0,1,2,0,0
Cagayan,2nd District,Lasam,39,292250789.23,36.41,7493609.98,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Gulayan sa Barangay | Palay Shed | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,19,165378738.89,13,126266230.34,1,455820.00,0,0.00,6,150000.00,0,0.00,0,0.00,0,0,0,0,1,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,11,0,1,0,0,0,0,0
Cagayan,2nd District,Pamplona,21,102647907.76,17.66,4887995.61,2025,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Chicken Housing | Farm-to-Market Road | Gulayan sa Barangay | Multi-Purpose Drying Pavement | School Garden | Small Water Impounding Project | Spring Development,11,83071580.00,4,18807976.48,1,458351.28,0,0.00,4,310000.00,1,0.00,0,0.00,0,1,0,0,0,11,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0
Cagayan,3rd District,Pe?ablanca,22,51624792.87,12.51,2346581.49,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,14,35934947.74,2,15539845.13,0,0.00,0,0.00,6,150000.00,0,0.00,0,0.00,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0
Cagayan,2nd District,Piat,29,65582575.89,22.03,2261468.13,2025,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Chicken Housing | Farm-to-Market Road | Greenhouse | Gulayan sa Barangay | Mushroom Fruiting House | Palay Shed | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,13,40447102.49,5,23990845.63,1,420559.60,2,384068.17,7,340000.00,1,0.00,0,0.00,0,1,0,0,0,13,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,4,3,0,2,0,0,0,0,0
Cagayan,2nd District,Rizal,12,30545302.01,9.05,2545441.83,2024,Farm-to-Market Road,Irrigation and Water Systems,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Gulayan sa Barangay | Mobile Solar Power Irrigation Unit | Small Water Impounding Project,4,7820454.58,5,22424847.43,0,0.00,0,0.00,3,300000.00,0,0.00,0,0.00,0,0,0,0,2,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cagayan,2nd District,Sanchez Mira,17,62237176.23,14.79,3661010.37,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | Rice Program,Diversion Dam | Farm-to-Market Road | Fertilizer Processing Center | Greenhouse | Gulayan sa Barangay | Small Water Impounding Project | Solar-Powered Irrigation System | Warehouse,7,32766816.44,6,18330486.39,2,9425800.15,1,1614073.25,1,100000.00,0,0.00,0,0.00,0,0,0,0,2,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1
Cagayan,1st District,Santa Ana,10,73975099.87,12.05,7397509.99,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | Rice Program,Diversion Dam | Farm-to-Market Road,7,58687704.43,3,15287395.44,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,2nd District,Santa Praxedes,5,12895000.00,2.25,2579000.00,2016,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program,Farm-to-Market Road,5,12895000.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,1st District,Santa Teresita,7,45634031.07,3.80,6519147.30,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | Rice Program,Diversion Dam | Farm-to-Market Road,6,39173000.00,1,6461031.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,2nd District,Santo Ni?o (Faire),17,29482045.14,18.61,1734237.95,2024,School Garden,Food Gardens,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | Multi Crop Drying Pavement (MCDP) | Rainshelter | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,3,7920000.00,5,19762320.25,1,712167.70,2,937557.19,6,150000.00,0,0.00,0,0.00,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,5,3,0,2,0,0,0,0,0
Cagayan,3rd District,Solana,49,213126872.31,39.85,4349528.01,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Diversion Dam | Farm-to-Market Road | Greenhouse | Gulayan sa Barangay | Multi-Purpose Drying Pavement | Mushroom Fruiting House | Palay Shed | Rabbit Housing | Rice Processing Center | School Garden | Small Water Impounding Project | Solar-Powered Fertigation System (8) | Solar-Powered Irrigation System | Warehouse,23,150039909.37,9,44933540.53,6,16475336.91,3,1398085.50,7,160000.00,1,120000.00,0,0.00,0,0,0,0,4,23,0,0,2,1,0,0,0,2,1,0,0,1,1,0,1,6,2,2,1,0,0,0,0,2
Cagayan,3rd District,Tuao,23,96554315.43,23.27,4198013.71,2024,School Garden,Food Gardens,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Diversion Dam | Farm-to-Market Road | Greenhouse | Gulayan sa Barangay | Multi Crop Drying Pavement (MCDP) | Mushroom Fruiting House | Rabbit Housing | School Garden | Small Water Impounding Project,6,72609440.00,2,22520776.67,1,666351.41,2,347808.00,11,200000.00,1,209939.35,0,0.00,0,0,0,0,1,6,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0
Cagayan,3rd District,Tuguegarao City (Capital),4,21790634.51,2.60,5447658.63,2019,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program,Farm-to-Market Road,4,21790634.51,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isabela,3rd District,Alicia,19,129746475.77,22.72,6828761.88,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Rice Processing Center | School Garden,12,129686475.77,0,0.00,1,0.00,0,0.00,6,60000.00,0,0.00,0,0.00,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
Isabela,3rd District,Angadanan,27,414672198.32,40.68,15358229.57,2022,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program,Farm-to-Market Road | Multi-Purpose Drying Pavement | School Garden,22,236898551.57,0,0.00,1,177733646.75,0,0.00,4,40000.00,0,0.00,0,0.00,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Isabela,5th District,Aurora,10,28952122.40,11.17,2895212.24,2023,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Grain Silo | Multi-Purpose Drying Pavement | Rainshelter | School Garden | Solar-Powered Irrigation System,3,24717810.68,1,652332.92,2,3318475.92,1,233502.88,3,30000.00,0,0.00,0,0.00,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0
Isabela,2nd District,Benito Soliven,18,77544798.69,13.29,4308044.37,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,13,66197346.95,3,11327451.74,0,0.00,0,0.00,2,20000.00,0,0.00,0,0.00,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0
Isabela,5th District,Burgos,18,29606822.83,9.80,1644823.49,2022,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | Multi-Purpose Drying Pavement | School Garden,11,28705652.72,0,0.00,1,481170.11,0,0.00,6,420000.00,0,0.00,0,0.00,0,0,0,0,0,11,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Isabela,1st District,Cabagan,29,209370426.21,34.73,7219669.87,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | School Garden | Small Water Impounding Project,22,194274114.55,4,15066311.66,0,0.00,0,0.00,3,30000.00,0,0.00,0,0.00,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Isabela,3rd District,Cabatuan,10,47009141.35,9.76,4700914.13,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program,Farm-to-Market Road | Packinghouse | School Garden,5,43969033.51,0,0.00,1,3000107.84,0,0.00,4,40000.00,0,0.00,0,0.00,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
Isabela,6th District,City of Cauayan,39,352855700.96,35.26,9047582.08,2025,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | Rice Program,Farm-to-Market Road | Greenhouse | Multi Crop Drying Pavement (MCDP) | Multi-Purpose Drying Pavement | Rice Processing Center | Small Water Impounding Project | Solar-Powered Irrigation System | Vermi-Composting Facilities | Warehouse,24,306361918.92,7,35993114.09,6,9843309.21,2,657358.74,0,0.00,0,0.00,0,0.00,0,0,0,0,0,24,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,5,0,2,0,0,1,0,1
Isabela,4th District,City of Santiago,12,69417709.19,13.69,5784809.10,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Multi-Purpose Drying Pavement | Rainshelter | Rice Processing Center | Small Water Impounding Project | Solar-Powered Irrigation System,5,59499628.08,4,9108258.85,2,481170.11,1,328652.15,0,0.00,0,0.00,0,0.00,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0
Isabela,4th District,Cordon,18,128393856.15,18.82,7132992.01,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Palay Shed | School Garden | Small Water Impounding Project,10,119838075.81,3,8060713.38,1,455066.96,0,0.00,4,40000.00,0,0.00,0,0.00,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0
Isabela,1st District,Delfin Albano (Magsaysay),14,84114134.17,13.06,6008152.44,2024,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Diversion Dam | Farm-to-Market Road | Multi Crop Drying Pavement (MCDP) | School Garden | Small Water Impounding Project,7,31850277.44,5,51632573.01,1,621283.72,0,0.00,1,10000.00,0,0.00,0,0.00,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
Isabela,4th District,Dinapigue,3,7959275.14,3.00,2653091.71,2022,School Garden,Irrigation and Water Systems,High Value Crop Development Program | Rice Program,Check Dam | Diversion Dam | School Garden,0,0.00,2,7949275.14,0,0.00,0,0.00,1,10000.00,0,0.00,0,0.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isabela,1st District,Divilacan,2,3530593.93,2.00,1765296.96,2016,Diversion Dam,Irrigation and Water Systems,Rice Program,Diversion Dam,0,0.00,2,3530593.93,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isabela,6th District,Echague,33,147673953.86,30.59,4474968.30,2024,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Farm-to-Market Road | Greenhouse | Multi-Purpose Drying Pavement | Mushroom Fruiting House | Palay Shed | Rabbit Housing | School Garden | Small Water Impounding Project,14,139277506.87,1,5721753.80,2,949671.48,3,1430022.10,12,120000.00,1,174999.61,0,0.00,0,0,0,0,0,14,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,12,1,0,0,0,0,0,0,0
