project_id,project_type,project_type_key,project_group,project_group_key,project_title,fund_source,source_agency,banner_program,year_funded,operating_unit,project_cost,beneficiary,quantity,province,district,municipality,barangay,ADM4_PCODE,ADM3_PCODE,ADM2_PCODE,match_status
ABEMIS0016,Spring Development,abemis_spring_development_count,Irrigation and Water Systems,abemis_irrigation,Installation of Sitio Ganipa-Giayan Spring Development,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2023,Cagayan Valley (Region II),1080680.38,Giayan Multi-Purpose Cooperative,1.00,Quirino,Quirino,Nagtipunan,Guino (Giayan),PH0205706004,PH0205706,PH02057,barangay_matched
ABEMIS0017,Small Water Impounding Project,abemis_small_water_impounding_project_count,Irrigation and Water Systems,abemis_irrigation,Construction of Ubbog SWIP,Rice Program,DA - OSEC,Rice Program,2023,Cagayan Valley (Region II),14462526.26,Nagsabaran Small Water Irrigation System Association Inc.,1.00,Cagayan,3rd District,Amulung,Nagsabaran,PH0201504039,PH0201504,PH02015,barangay_matched
ABEMIS0018,Greenhouse,abemis_greenhouse_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Greenhouse with Hydroponics,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,BAFE - Central Office,0.00,La Montagne Integrated Farm - Cagayan Valley (Region II),1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Barat,PH0205004008,PH0205004,PH02050,barangay_matched
ABEMIS0019,Mushroom Fruiting House,abemis_mushroom_fruiting_house_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Mushroom House,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,BAFE - Central Office,0.00,Cagayan State University-Lallo Campus - Cagayan Valley (Region II),1.00,Cagayan,1st District,Lal-lo,Santa Maria,PH0201516034,PH0201516,PH02015,barangay_matched
ABEMIS0020,Mushroom Fruiting House,abemis_mushroom_fruiting_house_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Mushroom House,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,BAFE - Central Office,0.00,Cagayan State University - Piat,1.00,Cagayan,2nd District,Piat,Baung,PH0201520016,PH0201520,PH02015,barangay_matched
ABEMIS0021,Nursery Establishment,abemis_nursery_establishment_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Construction of Nursery,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),0.00,Alfonso Castañeda Vegetable Growers Assocation (ALCAVEGA),1.00,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),PH0205015005,PH0205015,PH02050,barangay_matched
ABEMIS0022,Nursery Establishment,abemis_nursery_establishment_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Construction of Nursery,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),0.00,Alfonso Castañeda Vegetable Growers Assocation (ALCAVEGA),1.00,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),PH0205015005,PH0205015,PH02050,barangay_matched
ABEMIS0023,School Garden,abemis_school_garden_count,Food Gardens,abemis_food_garden,School Garden Program,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2022,Cagayan Valley (Region II),10000.00,Bulo Elementary School,1.00,Cagayan,2nd District,Allacapan,Bulo,PH0201503003,PH0201503,PH02015,barangay_matched
ABEMIS0024,Solar-Powered Fertigation System (8),abemis_solar_powered_fertigation_system_8_count,Irrigation and Water Systems,abemis_irrigation,Installation of Carilucud-1 SPFS-8,Rice Program,DA - OSEC,Rice Program,2022,Cagayan Valley (Region II),1721766.77,Carilucud Farmers Water Pump Association,1.00,Cagayan,3rd District,Solana,Carilucud,PH0201527009,PH0201527,PH02015,barangay_matched
ABEMIS0025,Solar-Powered Fertigation System (8),abemis_solar_powered_fertigation_system_8_count,Irrigation and Water Systems,abemis_irrigation,Installation of Carilucud-2 SPFS-8,Rice Program,DA - OSEC,Rice Program,2022,Cagayan Valley (Region II),1721765.55,Carilucud Farmers Water Pump Association,1.00,Cagayan,3rd District,Solana,Carilucud,PH0201527009,PH0201527,PH02015,barangay_matched
ABEMIS0026,Village Type Corn Postharvest Processing Center (VTCPPC),abemis_village_type_corn_postharvest_processing_center_vtcppc_count,Postharvest and Processing,abemis_postharvest,Construction of AMA-SILA's Corn Complex Phase I,Corn Program,DA - OSEC,Corn Program,2023,Cagayan Valley (Region II),66925871.76,Asosasyon ng mga Ama-Syudad ng Ilagan,1.00,Isabela,1st District,Ilagan City (Capital),San Vicente (Pob.),PH0203114087,PH0203114,PH02031,barangay_matched
ABEMIS0027,Packinghouse,abemis_packinghouse_count,Postharvest and Processing,abemis_postharvest,Construction of Packaging House,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),0.00,Alfonso Castañeda Vegetable Growers Assocation (ALCAVEGA),1.00,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),PH0205015005,PH0205015,PH02050,barangay_matched
ABEMIS0028,Solar-Powered Irrigation System,abemis_solar_powered_irrigation_system_count,Irrigation and Water Systems,abemis_irrigation,Construction of Solar Powered Irrigation System,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2025,Cagayan Valley (Region II),1674610.93,LGU QUEZON ISABELA,1.00,Isabela,5th District,Quezon,Samonte (Pob.),PH0203122011,PH0203122,PH02031,barangay_matched
ABEMIS0029,Greenhouse,abemis_greenhouse_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Construction of Screenhouse/Nethouse,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),0.00,"Alfonso Castañeda Vegetable Growers Association, Inc.",1.00,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),PH0205015005,PH0205015,PH02050,barangay_matched
ABEMIS0030,Greenhouse,abemis_greenhouse_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Construction of Screenhouse/Nethouse,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),0.00,Alfonso Castañeda Vegetable Growers and Workers Association,1.00,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Galintuja,PH0205015002,PH0205015,PH02050,barangay_matched
ABEMIS0031,Greenhouse,abemis_greenhouse_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Construction of Screenhouse/Nethouse,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),0.00,Alfonso Castañeda Vegetable Growers and Workers Association,1.00,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),PH0205015005,PH0205015,PH02050,barangay_matched
ABEMIS0032,Multi Crop Drying Pavement (MCDP),abemis_multi_crop_drying_pavement_mcdp_count,Postharvest and Processing,abemis_postharvest,Construction of Multi-Crop Drying Pavement with Shed,Corn Program,DA - OSEC,Corn Program,2025,Cagayan Valley (Region II),864840.60,Villa Luna Multi-Purpose Cooperative,1.00,Isabela,6th District,City of Cauayan,Villa Luna,PH0203108073,PH0203108,PH02031,barangay_matched
ABEMIS0033,Multi-Commodity Drying Shed,abemis_multi_commodity_drying_shed_count,Postharvest and Processing,abemis_postharvest,Multi-Commodity Solar Drying Facility,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2024,Cagayan Valley (Region II),0.00,Kasibu Coffee Growers Association,1.00,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Poblacion (Alloy),PH0205009003,PH0205009,PH02050,barangay_matched
ABEMIS0034,Palay Shed,abemis_palay_shed_count,Postharvest and Processing,abemis_postharvest,Construction of Palay Shed,Rice Program,DA - OSEC,Rice Program,2024,Cagayan Valley (Region II),420559.60,Mabuhay Agri-Crop Multi-Purpose Cooperative,1.00,Cagayan,2nd District,Piat,Warat,PH0201520015,PH0201520,PH02015,barangay_matched
ABEMIS0035,Palay Shed,abemis_palay_shed_count,Postharvest and Processing,abemis_postharvest,Construction of Palay Shed,Rice Program,DA - OSEC,Rice Program,2024,Cagayan Valley (Region II),455820.00,ZRIS Farmers Irrigators Agriculture Cooperative ( ZRIS FIACO),1.00,Cagayan,2nd District,Lasam,Minanga Norte,PH0201517017,PH0201517,PH02015,barangay_matched
ABEMIS0036,Solar-Powered Irrigation System,abemis_solar_powered_irrigation_system_count,Irrigation and Water Systems,abemis_irrigation,Masaya Sur Solar Powered Irrigation System,Rice Program,DA - OSEC,Rice Program,2024,Cagayan Valley (Region II),4656866.02,Masaya Sur Small Water Irrigation System Association,1.00,Isabela,4th District,San Agustin,Masaya Sur,PH0203127010,PH0203127,PH02031,barangay_matched
ABEMIS0037,Multi Crop Drying Pavement (MCDP),abemis_multi_crop_drying_pavement_mcdp_count,Postharvest and Processing,abemis_postharvest,Construction of Multi-Crop Drying Pavement,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),666351.41,Salamin Multi-Purpose Cooperative,1.00,Cagayan,3rd District,Tuao,Malumin,,PH0201528,PH02015,barangay_unmatched
ABEMIS0038,Multi Crop Drying Pavement (MCDP),abemis_multi_crop_drying_pavement_mcdp_count,Postharvest and Processing,abemis_postharvest,Construction of Multi-Crop Drying Pavement,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),761829.04,Cajel Farmers Association,1.00,Quirino,Quirino,Diffun,Cajel,PH0205703007,PH0205703,PH02057,barangay_matched
ABEMIS0039,Multi Crop Drying Pavement (MCDP),abemis_multi_crop_drying_pavement_mcdp_count,Postharvest and Processing,abemis_postharvest,Construction of Multi-Crop Drying Pavement,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),761829.04,Dumanisi ARB Multi-Purpose Cooperative,1.00,Quirino,Quirino,Diffun,Dumanisi,PH0205703012,PH0205703,PH02057,barangay_matched
ABEMIS0040,Chicken Housing,abemis_chicken_housing_count,Livestock Facilities,abemis_livestock,Poultry House,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,Cagayan Valley (Region II),0.00,Municipal Local Government Unit of Pamplona - Cagayan Valley (Region II),1.00,Cagayan,2nd District,Pamplona,Abanqueruan,PH0201518001,PH0201518,PH02015,barangay_matched
ABEMIS0041,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1198447.80,San Isidro Labrador Agriculture Cooperative,1.00,Cagayan,3rd District,Enrile,Divisoria,PH0201512007,PH0201512,PH02015,barangay_matched
ABEMIS0042,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1198447.80,Mauanan-Baluncanag Gaddangao Credit Cooperative,1.00,Cagayan,2nd District,Rizal,Mauanan,PH0201521017,PH0201521,PH02015,barangay_matched
ABEMIS0043,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1198447.80,Paniki Nangalisan Bakir Corn Cluster Farmers Association Inc.,1.00,Nueva Vizcaya,Nueva Vizcaya,Bagabag,Nangalisan,PH0205003006,PH0205003,PH02050,barangay_matched
ABEMIS0044,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1198447.80,Sunrise Multi-Purpose Cooperative,1.00,Cagayan,1st District,Gattaran,Capissayan Sur,PH0201513016,PH0201513,PH02015,barangay_matched
ABEMIS0045,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1198447.80,Masical Farmers Association,1.00,Cagayan,3rd District,Amulung,Masical,PH0201504036,PH0201504,PH02015,barangay_matched
ABEMIS0046,Mushroom Fruiting House,abemis_mushroom_fruiting_house_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Mushroom House,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,Cagayan Valley (Region II),0.00,La Montagne Integrated Farm,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Barat,PH0205004008,PH0205004,PH02050,barangay_matched
ABEMIS0047,Cold Storage,abemis_cold_storage_count,Postharvest and Processing,abemis_postharvest,Construction of LGU Aritao's Onion Cold Storage,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2023,Cagayan Valley (Region II),20366250.00,Aritao Irrigators Multipurpose Cooperative,1.00,Nueva Vizcaya,Nueva Vizcaya,Aritao,Banganan,PH0205002001,PH0205002,PH02050,barangay_matched
ABEMIS0048,Diversion Dam,abemis_diversion_dam_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mabila-Ineangan Diversion Dam,Rice Program,DA - OSEC,Rice Program,2022,Cagayan Valley (Region II),9538239.28,"Ineangan-Mabila Irrigator's Association, Inc.",1.00,Nueva Vizcaya,Nueva Vizcaya,Dupax del Norte,Ineangan,PH0205007010,PH0205007,PH02050,barangay_matched
ABEMIS0049,Palay Shed,abemis_palay_shed_count,Postharvest and Processing,abemis_postharvest,Construction of Palay Shed,Rice Program,DA - OSEC,Rice Program,2024,Cagayan Valley (Region II),455066.96,Wesley Savings and Multi-Purpose Cooperative,1.00,Isabela,6th District,Echague,Garit Norte,PH0203112018,PH0203112,PH02031,barangay_matched
ABEMIS0050,Small Water Impounding Project,abemis_small_water_impounding_project_count,Irrigation and Water Systems,abemis_irrigation,Improvement of Ipuran-Kalangkaan SWIP,Rice Program,DA - OSEC,Rice Program,2024,Cagayan Valley (Region II),3702982.36,Ipuran-Kalangkaan Irrigator's Association,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Mauan,PH0205004017,PH0205004,PH02050,barangay_matched
ABEMIS0051,Chicken Housing,abemis_chicken_housing_count,Livestock Facilities,abemis_livestock,Poultry House,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,Cagayan Valley (Region II),300000.00,La Montagne Integrated Farm - Cgayan Valley (Region II),1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Barat,PH0205004008,PH0205004,PH02050,barangay_matched
ABEMIS0052,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Villaflor - Calaoagan FMR, Brgy. Villaflor and Brgy. Calaoagan,Cauayan City, Isabela",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),9950000.00,,0.67,Isabela,6th District,City of Cauayan,Villaflor,PH0203108074,PH0203108,PH02031,barangay_matched
ABEMIS0053,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Brgy. San Carlos FMR, Brgy. San Carlos, Echague, Isabela",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),9939111.50,,0.67,Isabela,6th District,Echague,San Carlos,PH0203112044,PH0203112,PH02031,barangay_matched
ABEMIS0054,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1197994.25,San Agustin Dairy Cooperative,1.00,Isabela,4th District,San Agustin,Sinaoangan Sur,PH0203127022,PH0203127,PH02031,barangay_matched
ABEMIS0055,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1197994.25,Amianan Farmers Entrepreneur Agriculture Cooperative,1.00,Isabela,1st District,Ilagan City (Capital),Santa Victoria,PH0203114093,PH0203114,PH02031,barangay_matched
ABEMIS0056,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1197994.25,San Pablo Isabela Farmers Dairy Cooperative,1.00,Isabela,1st District,San Pablo,Simanu Sur,PH0203133016,PH0203133,PH02031,barangay_matched
ABEMIS0057,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1197994.25,Asosasyon ng mga Ama-Syudad ng Ilagan,1.00,Isabela,1st District,Ilagan City (Capital),Marana I,PH0203114057,PH0203114,PH02031,barangay_matched
ABEMIS0058,Mobile Solar Power Irrigation Unit,abemis_mobile_solar_power_irrigation_unit_count,Irrigation and Water Systems,abemis_irrigation,Construction of Mobile Solar-Powered Irrigation System,Corn Program,DA - OSEC,Corn Program,2024,Cagayan Valley (Region II),1197994.25,Maddela Integrated Farmers Saving Development Cooperative,1.00,Quirino,Quirino,Maddela,Diduyon,PH0205704009,PH0205704,PH02057,barangay_matched
ABEMIS0059,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Pallas-Pinayag FMR, Brgy. Pallas, Bambang, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),14925000.00,,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Pallas;Pallas,,PH0205004,PH02050,barangay_unmatched
ABEMIS0060,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Salecpan-Babadi,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),14924664.08,,1.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Babadi,PH0205010005,PH0205010,PH02050,barangay_matched
ABEMIS0061,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Magsaysay Hills - San Antonio North FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),14925000.00,,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Magsaysay Hills,PH0205004026,PH0205004,PH02050,barangay_matched
ABEMIS0062,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Namuog, Brgy. Calaocan FMR",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),9950000.00,,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Calaocan (Pob.),PH0205004010,PH0205004,PH02050,barangay_matched
ABEMIS0063,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Dullao FMR, Brgy. Dullao, Bambang, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2024,Cagayan Valley (Region II),14925000.01,,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Dullao,PH0205004011,PH0205004,PH02050,barangay_matched
ABEMIS0064,Palay Shed,abemis_palay_shed_count,Postharvest and Processing,abemis_postharvest,Construction of Palay Shed,Rice Program,DA - OSEC,Rice Program,2024,Cagayan Valley (Region II),455066.96,Wigan Settlers Multi-Purpose Cooperative,1.00,Isabela,4th District,Cordon,Villamarzo,PH0203109024,PH0203109,PH02031,barangay_matched
ABEMIS0065,Spring Development,abemis_spring_development_count,Irrigation and Water Systems,abemis_irrigation,Construction of Spring Development,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),757298.40,Bornmat Vegetable Growers & Irrigators Association,1.00,Nueva Vizcaya,Nueva Vizcaya,Dupax del Sur,Ganao (Lingad),PH0205008008,PH0205008,PH02050,barangay_matched
ABEMIS0066,Cold Storage,abemis_cold_storage_count,Postharvest and Processing,abemis_postharvest,Onion Cold Storage Facility,High Value Crop Development Program,Cagayan Valley (Region II),High Value Crop Development Program,2024,Cagayan Valley (Region II),39949617.60,"LGU Dupax Del Sur / Gabut Farmers Rice, Onion Growers Association",1.00,Nueva Vizcaya,Nueva Vizcaya,Dupax del Sur,Santa Maria,PH0205008022,PH0205008,PH02050,barangay_matched
ABEMIS0067,Spring Development,abemis_spring_development_count,Irrigation and Water Systems,abemis_irrigation,Construction of Spring Development,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2025,Cagayan Valley (Region II),757298.40,Acacia Highland Farmers Association,1.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Acacia,PH0205010001,PH0205010,PH02050,barangay_matched
