episode,episode_date,year,region,province,calamity,drrmis_total_farmers_affected,drrmis_total_area_affected_ha,drrmis_total_production_loss_mt,drrmis_total_value_loss_php,drrmis_rice_farmers_affected,drrmis_rice_area_affected_ha,drrmis_rice_production_loss_mt,drrmis_rice_value_loss_php,drrmis_corn_farmers_affected,drrmis_corn_area_affected_ha,drrmis_corn_production_loss_mt,drrmis_corn_value_loss_php,drrmis_hvcc_farmers_affected,drrmis_hvcc_area_affected_ha,drrmis_hvcc_production_loss_mt,drrmis_hvcc_value_loss_php,drrmis_fisheries_value_loss_php,drrmis_livestock_value_loss_php,drrmis_infra_equipment_value_loss_php,drrmis_source_url
EP 6,Mar 2015 - Jun 2016,2016,RFO II,Cagayan,El Nino,0,3780,3973.24,47539130,0,0,0,0,0,3780,3973.24,47539130,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 6,Mar 2015 - Jun 2016,2016,RFO II,Isabela,El Nino,0,7749,7480.24,86394000,0,1492,1407.35,9019650,0,6257,6072.89,77374350,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 6,Mar 2015 - Jun 2016,2016,RFO II,Cagayan,El Nino,0,478,350,5950000,0,478,350,5950000,0,0,0,0,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 6,Mar 2015 - Jun 2016,2016,RFO II,Isabela,El Nino,0,61181,79338.28,1031397575,0,0,0,0,0,61181,79338.28,1031397575,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 6,Mar 2015 - Jun 2016,2016,RFO II,Quirino,El Nino,0,12514,9385.5,122011500,0,0,0,0,0,12514,9385.5,122011500,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 5,Jul 2009 - Jun 2010,2010,RFO II,Cagayan,El Nino,0,87130,157322,2187148970,0,38011,38560,655520000,0,46721,116400,1513200000,0,2398,2362,18428970,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 5,Jul 2009 - Jun 2010,2010,RFO II,Isabela,El Nino,0,183672,354866,5132706020,0,87282,129472,2201024000,0,96130,225127,2926651000,0,260,267,4001020,1030000,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 5,Jul 2009 - Jun 2010,2010,RFO II,Nueva Vizcaya,El Nino,0,18027,34374,509471840,0,11638,17790,302430000,0,5900,15206,197678000,0,489,1378,9305640,58200,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 5,Jul 2009 - Jun 2010,2010,RFO II,Quirino,El Nino,0,23660,40725,575105000,0,7763,11420,194140000,0,15897,29305,380965000,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 4,Aug 2006 - Feb 2007,2007,RFO II,Batanes,El Nino,0,616,3895,58174500,0,90,86,903000,0,135,128,960000,0,391,3681,55215000,0,1096500,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 4,Aug 2006 - Feb 2007,2007,RFO II,Cagayan,El Nino,0,47453,63195,564106198,0,13005,14722,191295628,0,34448,48473,372070755,0,0,0,0,739815,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 4,Aug 2006 - Feb 2007,2007,RFO II,Isabela,El Nino,0,85602,131870,1245931002,0,21471,4963,170769409,0,64131,126907,1070717685,0,0,0,0,4443908,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 4,Aug 2006 - Feb 2007,2007,RFO II,Nueva Vizcaya,El Nino,0,5412,9518,88865660,0,2819,460,20646710,0,2593,9058,67935000,0,0,0,0,283950,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 4,Aug 2006 - Feb 2007,2007,RFO II,Quirino,El Nino,0,12717,19493,155660137.9,0,753,0,5258887.9,0,11964,19493,150056100,0,0,0,0,345150,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 3,Sep 2004 - Feb 2005,2005,RFO II,Cagayan,El Nino,0,44059,80918,338559215,0,17319,27432,111326079,0,26740,53486,227233136,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 3,Sep 2004 - Feb 2005,2005,RFO II,Isabela,El Nino,0,68710,165479,650738302,0,3294,4572,12941614,0,65416,160907,637796688,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 3,Sep 2004 - Feb 2005,2005,RFO II,Nueva Vizcaya,El Nino,0,1329,1593,5360807,0,898,587,1622267,0,431,1006,3738540,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 3,Sep 2004 - Feb 2005,2005,RFO II,Quirino,El Nino,0,11906,17012,66408789,0,104,70,153114,0,11802,16942,66255675,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 2,Aug 2002 - Mar 2003,2003,RFO II,Cagayan,El Nino,0,30247,71023,249369557,0,24951,61254,205871814,0,5296,9769,43497743,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 2,Aug 2002 - Mar 2003,2003,RFO II,Isabela,El Nino,0,37193,79851,314304520,0,27116,56537,223699486,0,10077,23314,90605034,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 2,Aug 2002 - Mar 2003,2003,RFO II,Nueva Vizcaya,El Nino,0,2177,4856,12872379,0,2177,4856,12872379,0,0,0,0,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 2,Aug 2002 - Mar 2003,2003,RFO II,Quirino,El Nino,0,8007,16601,55299330,0,4270,11175,38295980,0,3737,5426,17003350,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 2,Aug 2002 - Mar 2003,2003,RFO II,Cagayan,El Nino,0,0,0,1946667,0,0,0,0,0,0,0,0,0,0,0,0,1946667,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 1,May 1997 - Jun 1998,1998,RFO II,Cagayan,El Nino,0,35049,52854,140004102,0,24921,35082,98768432,0,10128,17772,41235670,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 1,May 1997 - Jun 1998,1998,RFO II,Isabela,El Nino,0,87497,135567,433578933,0,28099,73098,119210998,0,59398,62469,314367935,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 1,May 1997 - Jun 1998,1998,RFO II,Nueva Vizcaya,El Nino,0,9495,20631,45252315,0,6506,15364,32762343,0,2989,5267,12489972,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 1,May 1997 - Jun 1998,1998,RFO II,Quirino,El Nino,0,8760,19696,59127883,0,3583,6360,20459533,0,5177,13336,38668350,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
