facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_constructed,farmer_beneficiaries,banner_program,remarks
ABEMIS0001,Poultry House,ABEMIS_LIVESTOCK,Cagayan,2nd District,Piat,Baung,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Livestock Facilities | Project Type: Chicken Housing | Beneficiary: Cagayan State University - Piat
ABEMIS0046,Mushroom House,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Bambang,Barat,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Mushroom Fruiting House | Beneficiary: La Montagne Integrated Farm
ABEMIS0047,Construction of LGU Aritao's Onion Cold Storage,ABEMIS_POSTHARVEST,Nueva Vizcaya,Nueva Vizcaya,Aritao,Banganan,,,High Value Crop Development Program,1.00,,20366250.00,2023,,High Value Crop Development Program,Project Group: Postharvest and Processing | Project Type: Cold Storage | Beneficiary: Aritao Irrigators Multipurpose Cooperative
ABEMIS0048,Construction of Mabila-Ineangan Diversion Dam,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Dupax del Norte,Ineangan,,,Rice Program,1.00,,9538239.28,2022,,Rice Program,"Project Group: Irrigation and Water Systems | Project Type: Diversion Dam | Beneficiary: Ineangan-Mabila Irrigator's Association, Inc."
ABEMIS0049,Construction of Palay Shed,ABEMIS_POSTHARVEST,Isabela,6th District,Echague,Garit Norte,,,Rice Program,1.00,,455066.96,2024,,Rice Program,Project Group: Postharvest and Processing | Project Type: Palay Shed | Beneficiary: Wesley Savings and Multi-Purpose Cooperative
ABEMIS0050,Improvement of Ipuran-Kalangkaan SWIP,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Bambang,Mauan,,,Rice Program,1.00,,3702982.36,2024,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Small Water Impounding Project | Beneficiary: Ipuran-Kalangkaan Irrigator's Association
ABEMIS0051,Poultry House,ABEMIS_LIVESTOCK,Nueva Vizcaya,Nueva Vizcaya,Bambang,Barat,,,National Urban and Peri-Urban Agriculture Program,1.00,,300000.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Livestock Facilities | Project Type: Chicken Housing | Beneficiary: La Montagne Integrated Farm - Cgayan Valley (Region II)
ABEMIS0052,"Concreting of Villaflor - Calaoagan FMR, Brgy. Villaflor and Brgy. Calaoagan,Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Villaflor,,,Farm to Market Road Development Program,0.67,,9950000.00,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0053,"Concreting of Brgy. San Carlos FMR, Brgy. San Carlos, Echague, Isabela",ABEMIS_FMR,Isabela,6th District,Echague,San Carlos,,,Farm to Market Road Development Program,0.67,,9939111.50,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0054,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Isabela,4th District,San Agustin,Sinaoangan Sur,,,Corn Program,1.00,,1197994.25,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: San Agustin Dairy Cooperative
ABEMIS0055,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Isabela,1st District,Ilagan City (Capital),Santa Victoria,,,Corn Program,1.00,,1197994.25,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Amianan Farmers Entrepreneur Agriculture Cooperative
ABEMIS0056,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Isabela,1st District,San Pablo,Simanu Sur,,,Corn Program,1.00,,1197994.25,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: San Pablo Isabela Farmers Dairy Cooperative
ABEMIS0057,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Isabela,1st District,Ilagan City (Capital),Marana I,,,Corn Program,1.00,,1197994.25,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Asosasyon ng mga Ama-Syudad ng Ilagan
ABEMIS0058,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Quirino,Quirino,Maddela,Diduyon,,,Corn Program,1.00,,1197994.25,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Maddela Integrated Farmers Saving Development Cooperative
ABEMIS0059,"Concreting of Pallas-Pinayag FMR, Brgy. Pallas, Bambang, Nueva Vizcaya",ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Bambang,Pallas;Pallas,,,Farm to Market Road Development Program,1.00,,14925000.00,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0060,Concreting of Salecpan-Babadi,ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Babadi,,,Farm to Market Road Development Program,1.00,,14924664.08,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0061,Concreting of Magsaysay Hills - San Antonio North FMR,ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Bambang,Magsaysay Hills,,,Farm to Market Road Development Program,1.00,,14925000.00,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0062,"Concreting of Namuog, Brgy. Calaocan FMR",ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Bambang,Calaocan (Pob.),,,Farm to Market Road Development Program,1.00,,9950000.00,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0063,"Concreting of Dullao FMR, Brgy. Dullao, Bambang, Nueva Vizcaya",ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Bambang,Dullao,,,Farm to Market Road Development Program,1.00,,14925000.01,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0064,Construction of Palay Shed,ABEMIS_POSTHARVEST,Isabela,4th District,Cordon,Villamarzo,,,Rice Program,1.00,,455066.96,2024,,Rice Program,Project Group: Postharvest and Processing | Project Type: Palay Shed | Beneficiary: Wigan Settlers Multi-Purpose Cooperative
ABEMIS0065,Construction of Spring Development,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Dupax del Sur,Ganao (Lingad),,,High Value Crop Development Program,1.00,,757298.40,2025,,High Value Crop Development Program,Project Group: Irrigation and Water Systems | Project Type: Spring Development | Beneficiary: Bornmat Vegetable Growers & Irrigators Association
ABEMIS0066,Onion Cold Storage Facility,ABEMIS_POSTHARVEST,Nueva Vizcaya,Nueva Vizcaya,Dupax del Sur,Santa Maria,,,High Value Crop Development Program,1.00,,39949617.60,2024,,High Value Crop Development Program,"Project Group: Postharvest and Processing | Project Type: Cold Storage | Beneficiary: LGU Dupax Del Sur / Gabut Farmers Rice, Onion Growers Association"
ABEMIS0067,Construction of Spring Development,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Acacia,,,High Value Crop Development Program,1.00,,757298.40,2025,,High Value Crop Development Program,Project Group: Irrigation and Water Systems | Project Type: Spring Development | Beneficiary: Acacia Highland Farmers Association
ABEMIS0068,Construction of Spring Development,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Pampang (Pob.),,,High Value Crop Development Program,1.00,,757298.40,2025,,High Value Crop Development Program,Project Group: Irrigation and Water Systems | Project Type: Spring Development | Beneficiary: Pampang Irrigators and Farmers Association
ABEMIS0069,Construction of Spring Development,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Dupax del Sur,Kimbutan,,,High Value Crop Development Program,1.00,,757298.40,2025,,High Value Crop Development Program,Project Group: Irrigation and Water Systems | Project Type: Spring Development | Beneficiary: Binadang Farmers Association
ABEMIS0070,Construction of Spring Development,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Santa Fe,Buyasyas,,,High Value Crop Development Program,1.00,,757298.40,2025,,High Value Crop Development Program,Project Group: Irrigation and Water Systems | Project Type: Spring Development | Beneficiary: I-wak Ancestral Domain Development Association
ABEMIS0071,Construction of Palay Shed,ABEMIS_POSTHARVEST,Nueva Vizcaya,Nueva Vizcaya,Aritao,Sta. Clara,,,Rice Program,1.00,,499624.51,2024,,Rice Program,Project Group: Postharvest and Processing | Project Type: Palay Shed | Beneficiary: Barabac Santa Fe Multi-Purpose Cooperative
ABEMIS0072,Apayao Solar Powered Irrigation System,ABEMIS_IRRIGATION,Cagayan,2nd District,Piat,Apayao,,,Rice Program,1.00,,1842899.07,2024,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Solar-Powered Irrigation System | Beneficiary: Asiga Small Water Impounding Project
ABEMIS0073,Construction of Multi-Crop Drying Pavement,ABEMIS_POSTHARVEST,Quirino,Quirino,Cabarroguis (Capital),Eden,,,Corn Program,1.00,,673656.17,2024,,Corn Program,Project Group: Postharvest and Processing | Project Type: Multi Crop Drying Pavement (MCDP) | Beneficiary: Eden Upland Farmers Association
ABEMIS0074,"Concreting of Padul FMR, Brgy. Padul, Solana, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Solana,Padul,,,Farm to Market Road Development Program,0.27,,1889943.20,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0075,"Concreting of Cagayan Breeding Station Road Network, Brgy.Maguirig,Solana, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Solana,Maguirig,,,Farm to Market Road Development Program,0.58,,4775081.71,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0076,"Concreting of Andarayan North-South FMR, Brgys.Andarayan North and South,Solana, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Solana,Andarayan North,,,Farm to Market Road Development Program,0.27,,1880969.47,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0077,"Concreting of Bauan East, Sitio Ipil FMR, Brgy.Bauan East, Solana, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Solana,Bauan East,,,Farm to Market Road Development Program,0.55,,4726224.26,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0078,"Concreting of Nabbabalayan FMR, Brgy.Nabbabalayan,Peñablanca, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Pe?ablanca,Nabbabalayan,,,Farm to Market Road Development Program,0.25,,1890059.04,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0079,"Concreting of Santiago FMR, Brgy. Santiago, Iguig, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Iguig,Santiago,,,Farm to Market Road Development Program,0.28,,1890144.52,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0080,"Concreting of San Juan FMR, Brgy.San Juan, Amulung, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Amulung,Cordova,,,Farm to Market Road Development Program,0.35,,2834882.04,2017,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
