station,province,latitude,longitude,year,month_number,month,climatological_season,philippine_season,annual_rainfall_mm,rainfall_mm,date,source_url
Aparri,Cagayan,18.35,121.6167,1991,11,Nov,SON,Dry Season,1885.2,271.5,1991-11-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1991,12,Dec,DJF,Dry Season,1885.2,52,1991-12-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,1,Jan,DJF,Dry Season,1596.1,130.2,1992-01-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,2,Feb,DJF,Dry Season,1596.1,13.4,1992-02-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,3,Mar,MAM,Dry Season,1596.1,26,1992-03-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,4,Apr,MAM,Dry Season,1596.1,82.3,1992-04-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,5,May,MAM,Wet Season,1596.1,73.1,1992-05-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,6,Jun,JJA,Wet Season,1596.1,121.5,1992-06-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,7,Jul,JJA,Wet Season,1596.1,143.3,1992-07-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,8,Aug,JJA,Wet Season,1596.1,139.3,1992-08-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,9,Sep,SON,Wet Season,1596.1,261.5,1992-09-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,10,Oct,SON,Wet Season,1596.1,371.5,1992-10-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,11,Nov,SON,Dry Season,1596.1,154,1992-11-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,12,Dec,DJF,Dry Season,1596.1,80,1992-12-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,1,Jan,DJF,Dry Season,1291.3,158.9,1993-01-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,2,Feb,DJF,Dry Season,1291.3,32,1993-02-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,3,Mar,MAM,Dry Season,1291.3,14.1,1993-03-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,4,Apr,MAM,Dry Season,1291.3,6.5,1993-04-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,5,May,MAM,Wet Season,1291.3,6.2,1993-05-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,6,Jun,JJA,Wet Season,1291.3,88.9,1993-06-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,7,Jul,JJA,Wet Season,1291.3,42,1993-07-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,8,Aug,JJA,Wet Season,1291.3,115,1993-08-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,9,Sep,SON,Wet Season,1291.3,215.5,1993-09-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,10,Oct,SON,Wet Season,1291.3,316.7,1993-10-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,11,Nov,SON,Dry Season,1291.3,130.5,1993-11-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1993,12,Dec,DJF,Dry Season,1291.3,165,1993-12-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,1,Jan,DJF,Dry Season,1184.9,67.1,1994-01-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,2,Feb,DJF,Dry Season,1184.9,23.1,1994-02-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,3,Mar,MAM,Dry Season,1184.9,31.6,1994-03-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,4,Apr,MAM,Dry Season,1184.9,17,1994-04-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,5,May,MAM,Wet Season,1184.9,114,1994-05-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,6,Jun,JJA,Wet Season,1184.9,21.6,1994-06-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,7,Jul,JJA,Wet Season,1184.9,250.5,1994-07-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,8,Aug,JJA,Wet Season,1184.9,203,1994-08-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,9,Sep,SON,Wet Season,1184.9,234.5,1994-09-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,10,Oct,SON,Wet Season,1184.9,98,1994-10-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,11,Nov,SON,Dry Season,1184.9,110.5,1994-11-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1994,12,Dec,DJF,Dry Season,1184.9,14,1994-12-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,1,Jan,DJF,Dry Season,1992.4,72,1995-01-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,2,Feb,DJF,Dry Season,1992.4,95,1995-02-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,3,Mar,MAM,Dry Season,1992.4,12.5,1995-03-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,4,Apr,MAM,Dry Season,1992.4,0,1995-04-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,5,May,MAM,Wet Season,1992.4,124.7,1995-05-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,6,Jun,JJA,Wet Season,1992.4,83.5,1995-06-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,7,Jul,JJA,Wet Season,1992.4,363.1,1995-07-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,8,Aug,JJA,Wet Season,1992.4,182.5,1995-08-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,9,Sep,SON,Wet Season,1992.4,268,1995-09-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,10,Oct,SON,Wet Season,1992.4,186.5,1995-10-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,11,Nov,SON,Dry Season,1992.4,349,1995-11-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1995,12,Dec,DJF,Dry Season,1992.4,255.6,1995-12-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1996,1,Jan,DJF,Dry Season,2281.5,107,1996-01-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1996,2,Feb,DJF,Dry Season,2281.5,25,1996-02-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1996,3,Mar,MAM,Dry Season,2281.5,2,1996-03-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1996,4,Apr,MAM,Dry Season,2281.5,79.5,1996-04-01,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
