province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
BATANES,ITBAYAT,Cantaloupes- honey dew and other melon varieties,2,0.07
BATANES,ITBAYAT,Cassava (kamoteng kahoy),35,3.22
BATANES,ITBAYAT,Cattle,242,0
BATANES,ITBAYAT,Chickens,144,0
BATANES,ITBAYAT,Coconut,18,3.65
BATANES,ITBAYAT,Corn,392,90.86
BATANES,ITBAYAT,Ducks,12,0
BATANES,ITBAYAT,Eggplant (talong),12,0.42
BATANES,ITBAYAT,"Forage grass (sacate, alfalfa, green corn stalk)",2,1.37
BATANES,ITBAYAT,Gabi tubers,17,0.95
BATANES,ITBAYAT,Garlic (bawang),186,63.91
BATANES,ITBAYAT,"Garlic shoot, harvested green",4,0.35
BATANES,ITBAYAT,Ginger (luya),7,0.41
BATANES,ITBAYAT,Goats,109,0
BATANES,ITBAYAT,Green corn,1,0.18
BATANES,ITBAYAT,Horses,31,0
BATANES,ITBAYAT,Kangkong,1,0.01
BATANES,ITBAYAT,Lime (Calamansi),4,0.37
BATANES,ITBAYAT,Mango,1,0.01
BATANES,ITBAYAT,Mongo (Mung Bean),6,0.78
BATANES,ITBAYAT,Okra,2,0.01
BATANES,ITBAYAT,Onion bulbs (sibuyas),130,19.56
BATANES,ITBAYAT,Onion shoot,1,0.01
BATANES,ITBAYAT,Orange (dalandan),1,0.12
BATANES,ITBAYAT,Other Cereals,7,1.16
BATANES,ITBAYAT,Other crops for fiber production,2,1.46
BATANES,ITBAYAT,Other fruit-bearing trees and vines,3,0.14
BATANES,ITBAYAT,Other fruit-bearing vegetables,211,39.16
BATANES,ITBAYAT,Other leafy vegetables,67,13.45
BATANES,ITBAYAT,Other leguminous plants,40,4.06
BATANES,ITBAYAT,Other poultry,1,0
BATANES,ITBAYAT,Other tubers - roots and bulbs,124,12.88
BATANES,ITBAYAT,Papaya,1,0.03
BATANES,ITBAYAT,Patola,3,0.03
BATANES,ITBAYAT,Peanuts,35,5.8
BATANES,ITBAYAT,Pechay,4,0.02
BATANES,ITBAYAT,Pepper - small green,2,0.03
BATANES,ITBAYAT,Pepper - sweet,3,0.22
BATANES,ITBAYAT,Pigs or swine,309,0
BATANES,ITBAYAT,Pineapple,64,5.42
BATANES,ITBAYAT,Potato (patatas),65,6.02
BATANES,ITBAYAT,Rice/Palay,300,80.54
BATANES,ITBAYAT,Sheep,8,0
BATANES,ITBAYAT,Spinach,1,0
BATANES,ITBAYAT,Squash (kalabasa),3,0.09
BATANES,ITBAYAT,String beans - harvested green (sitao),2,0.03
BATANES,ITBAYAT,Sugarcane,4,0.46
BATANES,ITBAYAT,Tiger Grass,1,0.1
BATANES,ITBAYAT,Tomato (kamatis),2,0.03
BATANES,ITBAYAT,Tugi,30,8.15
BATANES,ITBAYAT,Ube,35,4.59
BATANES,ITBAYAT,Water melon,13,0.63
BATANES,ITBAYAT,Yam,4,0.14
BATANES,IVANA,Ampalaya,7,0.71
BATANES,IVANA,Avocado,7,0.04
BATANES,IVANA,Banana,56,6.1
BATANES,IVANA,Beans - dry,3,3.08
BATANES,IVANA,Bellpepper (Green/Red),4,1.13
BATANES,IVANA,Buffaloes (Carabaos),58,0
BATANES,IVANA,Cabbage (repolyo),13,7.75
BATANES,IVANA,Camote,81,13.88
BATANES,IVANA,Carrot,9,11.79
BATANES,IVANA,Cassava (kamoteng kahoy),1,0
BATANES,IVANA,Cattle,120,0
BATANES,IVANA,Chickens,70,0
BATANES,IVANA,Chili (labuyo),1,0
BATANES,IVANA,Coconut,19,3.39
BATANES,IVANA,Coffee - other varieties,1,0
BATANES,IVANA,Corn,17,3.02
BATANES,IVANA,Dragon Fruit,1,0.01
BATANES,IVANA,Ducks,4,0
BATANES,IVANA,Eggplant (talong),29,13.08
BATANES,IVANA,Fern,1,0.01
BATANES,IVANA,Gabi tubers,10,2.12
BATANES,IVANA,Garlic (bawang),38,7.3
BATANES,IVANA,Ginger (luya),14,5.08
BATANES,IVANA,Goats,46,0
BATANES,IVANA,Grapes (ubas),1,0
BATANES,IVANA,Green Beans (Baguio Beans),1,3
BATANES,IVANA,Guyabano,2,0.01
BATANES,IVANA,Jackfruit,1,0.01
BATANES,IVANA,Kalamansi,10,0.41
BATANES,IVANA,Kangkong,1,4
BATANES,IVANA,Lemon,5,0.07
BATANES,IVANA,Lime (Calamansi),11,5.12
BATANES,IVANA,Mango,8,0.21
BATANES,IVANA,Mongo (Mung Bean),2,0.09
BATANES,IVANA,Okra,5,1.12
BATANES,IVANA,Onion bulbs (sibuyas),16,3.89
BATANES,IVANA,Orange (dalandan),2,0.01
BATANES,IVANA,Other Fish,1,0.01
BATANES,IVANA,Other fruit-bearing trees and vines,11,0.16
BATANES,IVANA,Other fruit-bearing vegetables,164,4.99
BATANES,IVANA,Other leafy vegetables,88,7.8
BATANES,IVANA,Other leguminous plants,1,0
BATANES,IVANA,Other poultry,1,0
BATANES,IVANA,Other tubers - roots and bulbs,80,6.04
BATANES,IVANA,Peanuts,4,0.02
BATANES,IVANA,Pechay,33,20.3
BATANES,IVANA,Pigs or swine,208,0
BATANES,IVANA,Pineapple,12,1.53
BATANES,IVANA,Pomelo (suha),8,0.1
BATANES,IVANA,Potato (patatas),17,0.43
BATANES,IVANA,Radish (labanos),1,3
BATANES,IVANA,Rice/Palay,1,1
BATANES,IVANA,Spinach,1,0.01
BATANES,IVANA,Squash (kalabasa),11,12.78
BATANES,IVANA,String beans - harvested green (sitao),5,1.21
BATANES,IVANA,Sweet peas - harvested green (sitsaro),3,0.05
BATANES,IVANA,Tomato (kamatis),12,2.67
BATANES,IVANA,Tugi,15,10.54
BATANES,IVANA,Turkeys,1,0
BATANES,IVANA,Ube,28,3.09
BATANES,IVANA,Water melon,1,0.05
BATANES,IVANA,Winged Bean (pallang),1,0
BATANES,IVANA,Yam,10,0.24
BATANES,MAHATAO,Ampalaya,1,0.6
BATANES,MAHATAO,Beans - dry,1,0.01
BATANES,MAHATAO,Buffaloes (Carabaos),77,0
BATANES,MAHATAO,Cabbage (repolyo),3,0.03
BATANES,MAHATAO,Camote,23,23.83
BATANES,MAHATAO,Carrot,1,0.02
BATANES,MAHATAO,Cassava (kamoteng kahoy),1,0.02
BATANES,MAHATAO,Cattle,122,0
BATANES,MAHATAO,Chickens,32,0
BATANES,MAHATAO,Corn,6,0.25
BATANES,MAHATAO,Eggplant (talong),1,0.01
BATANES,MAHATAO,Gabi tubers,4,1.8
BATANES,MAHATAO,Garlic (bawang),6,0.24
BATANES,MAHATAO,Ginger (luya),1,0.02
BATANES,MAHATAO,Goats,18,0
BATANES,MAHATAO,Mongo (Mung Bean),5,0.27
BATANES,MAHATAO,Onion bulbs (sibuyas),7,0.26
BATANES,MAHATAO,Other crops for fiber production,29,18.36
BATANES,MAHATAO,Other fruit-bearing vegetables,130,21.6
BATANES,MAHATAO,Other industrial crops,1,0.05
BATANES,MAHATAO,Other leafy vegetables,89,7.21
BATANES,MAHATAO,Other tubers - roots and bulbs,120,8.59
BATANES,MAHATAO,Pechay,2,0.01
BATANES,MAHATAO,Pigs or swine,127,0
BATANES,MAHATAO,Pineapple,1,0.02
BATANES,MAHATAO,Potato (patatas),23,0.84
BATANES,MAHATAO,Rice/Palay,2,0.11
BATANES,MAHATAO,Squash (kalabasa),1,0.02
BATANES,MAHATAO,String beans - harvested green (sitao),1,0.04
BATANES,MAHATAO,Tilapia,1,0.13
BATANES,MAHATAO,Tomato (kamatis),1,0.01
BATANES,MAHATAO,Tugi,7,2.89
BATANES,MAHATAO,Ube,21,22.74
BATANES,MAHATAO,Water melon,4,0.13
BATANES,SABTANG,Ampalaya,4,0.1
BATANES,SABTANG,Arrowroot,1,0.05
BATANES,SABTANG,Banana,21,9.64
BATANES,SABTANG,Beans - dry,2,0.23
BATANES,SABTANG,Buffaloes (Carabaos),20,0
BATANES,SABTANG,Bush Sitao,6,0.16
BATANES,SABTANG,Cabbage (repolyo),4,0.25
BATANES,SABTANG,Camote,63,3.43
BATANES,SABTANG,Carrot,2,0.08
BATANES,SABTANG,Cassava (kamoteng kahoy),3,0.1
BATANES,SABTANG,Cattle,102,0
BATANES,SABTANG,Chickens,41,0
BATANES,SABTANG,Chili (labuyo),7,0.25
BATANES,SABTANG,Coconut,4,0.65
BATANES,SABTANG,Common gourd (upo),2,0.01
BATANES,SABTANG,Corn,70,8.66
BATANES,SABTANG,crops for seed and seedling,7,1.18
BATANES,SABTANG,Dragon Fruit,2,0.42
BATANES,SABTANG,Ducks,2,0
BATANES,SABTANG,Eggplant (talong),17,0.7
BATANES,SABTANG,Gabi tubers,8,0.94
BATANES,SABTANG,Garlic (bawang),28,2.61
BATANES,SABTANG,Ginger (luya),4,0.58
BATANES,SABTANG,Goats,48,0
BATANES,SABTANG,Green corn,1,0.03
BATANES,SABTANG,Kangkong,1,0.12
BATANES,SABTANG,Lime (Calamansi),3,0.15
BATANES,SABTANG,Mango,2,0.05
BATANES,SABTANG,Mongo (Mung Bean),2,0.05
BATANES,SABTANG,Okra,5,0.2
BATANES,SABTANG,Onion bulbs (sibuyas),7,0.24
BATANES,SABTANG,Orange (dalandan),1,0.05
BATANES,SABTANG,Other crops for fiber production,2,0.42
BATANES,SABTANG,Other fruit-bearing trees and vines,4,0.86
BATANES,SABTANG,Other fruit-bearing vegetables,227,41.78
BATANES,SABTANG,Other industrial crops,1,1
BATANES,SABTANG,Other leafy vegetables,93,6.72
BATANES,SABTANG,Other tubers - roots and bulbs,74,8.48
BATANES,SABTANG,Peanuts,2,0.04
BATANES,SABTANG,Pechay,7,0.39
BATANES,SABTANG,Pigs or swine,72,0
BATANES,SABTANG,Pineapple,7,0.35
BATANES,SABTANG,Pomelo (suha),2,0.06
BATANES,SABTANG,Potato (patatas),37,2.81
BATANES,SABTANG,Squash (kalabasa),8,0.17
BATANES,SABTANG,String beans - harvested green (sitao),1,0.01
BATANES,SABTANG,Taro,1,0.03
BATANES,SABTANG,Tomato (kamatis),6,0.27
BATANES,SABTANG,Tugi,21,1.19
BATANES,SABTANG,Ube,45,1.89
BATANES,SABTANG,Water melon,5,0.25
BATANES,SABTANG,Wax gourd (kondol),1,0.02
BATANES,SABTANG,Yam,14,0.44
BATANES,UYUGAN,Avocado,1,0.05
BATANES,UYUGAN,Banana,12,0.46
BATANES,UYUGAN,Bellpepper (Green/Red),1,0.06
BATANES,UYUGAN,Buffaloes (Carabaos),44,0
BATANES,UYUGAN,Cabbage (repolyo),2,0.07
BATANES,UYUGAN,Camote,75,7.5
BATANES,UYUGAN,Camote tops (talbos ng kamote),1,0.04
BATANES,UYUGAN,Cantaloupes- honey dew and other melon varieties,1,0.04
BATANES,UYUGAN,Cassava (kamoteng kahoy),8,0.14
BATANES,UYUGAN,Cattle,92,0
BATANES,UYUGAN,Chickens,53,0
BATANES,UYUGAN,Coconut,4,0.2
BATANES,UYUGAN,Corn,20,3.55
BATANES,UYUGAN,Cucumber (pipino),1,0.01
BATANES,UYUGAN,Ducks,2,0
BATANES,UYUGAN,Eggplant (talong),5,0.12
BATANES,UYUGAN,Gabi tubers,8,0.1
BATANES,UYUGAN,Garlic (bawang),54,3.8
BATANES,UYUGAN,Ginger (luya),7,0.11
BATANES,UYUGAN,Goats,45,0
BATANES,UYUGAN,Mongo (Mung Bean),2,0.12
BATANES,UYUGAN,Okra,2,0.09
BATANES,UYUGAN,Onion bulbs (sibuyas),17,0.7
BATANES,UYUGAN,Other animals (e.g.,1,0
BATANES,UYUGAN,Other fruit-bearing trees and vines,1,0.04
BATANES,UYUGAN,Other fruit-bearing vegetables,202,19.15
BATANES,UYUGAN,Other industrial crops,2,0.1
BATANES,UYUGAN,Other leafy vegetables,158,16.78
BATANES,UYUGAN,Other tubers - roots and bulbs,77,6.33
BATANES,UYUGAN,Peanuts,1,0.02
BATANES,UYUGAN,Pechay,2,0.01
BATANES,UYUGAN,Pigs or swine,114,0
BATANES,UYUGAN,Pineapple,4,0.2
BATANES,UYUGAN,Potato (patatas),4,0.14
BATANES,UYUGAN,Rice/Palay,2,0.1
BATANES,UYUGAN,Sheep,2,0
BATANES,UYUGAN,Squash (kalabasa),2,0.01
BATANES,UYUGAN,Sugarcane,4,1.92
BATANES,UYUGAN,Tomato (kamatis),3,0.01
BATANES,UYUGAN,Tugi,9,1.04
BATANES,UYUGAN,Ube,37,6.71
BATANES,UYUGAN,Water melon,4,0.2
BATANES,UYUGAN,Yam,3,0.03
CAGAYAN,ABULUG,Ampalaya,2,2.16
CAGAYAN,ABULUG,Avocado,3,1.18
CAGAYAN,ABULUG,Banana,29,17.94
CAGAYAN,ABULUG,Beans - dry,2,0.5
CAGAYAN,ABULUG,Betel Nut (Nga-nga),1,0.13
CAGAYAN,ABULUG,Black pepper,1,0.25
CAGAYAN,ABULUG,Buffaloes (Carabaos),200,0
CAGAYAN,ABULUG,Bush Sitao,1,0.25
CAGAYAN,ABULUG,Cacao,5,8.26
CAGAYAN,ABULUG,Cassava (kamoteng kahoy),1,0.25
CAGAYAN,ABULUG,Cattle,290,0
CAGAYAN,ABULUG,Chickens,635,0
CAGAYAN,ABULUG,Coconut,210,223.51
CAGAYAN,ABULUG,Coffee - other varieties,1,1.02
CAGAYAN,ABULUG,Common gourd (upo),1,0.25
CAGAYAN,ABULUG,Corn,1156,1738.43
CAGAYAN,ABULUG,crops for seed and seedling,3,1.3
CAGAYAN,ABULUG,Dogs and cats,4,0
CAGAYAN,ABULUG,Dragon Fruit,2,1.22
CAGAYAN,ABULUG,Ducks,281,0
CAGAYAN,ABULUG,Eggplant (talong),5,1.68
CAGAYAN,ABULUG,Geese,9,0
CAGAYAN,ABULUG,Gmelina Arborea,2,0.95
CAGAYAN,ABULUG,Goats,65,0
CAGAYAN,ABULUG,Guyabano,1,0.25
CAGAYAN,ABULUG,Hito/Catfish,4,1.16
CAGAYAN,ABULUG,Kalamansi,9,7.55
CAGAYAN,ABULUG,Lime (Calamansi),3,0.82
CAGAYAN,ABULUG,Mandarin (dalanghita),16,15.8
CAGAYAN,ABULUG,Mango,1,0.25
CAGAYAN,ABULUG,Mushroom,1,0.03
CAGAYAN,ABULUG,Okra,1,0.16
CAGAYAN,ABULUG,Orange (dalandan),1,0.69
CAGAYAN,ABULUG,Other Fish,6,0.97
CAGAYAN,ABULUG,Other fruit-bearing trees and vines,14,17.99
CAGAYAN,ABULUG,Other fruit-bearing vegetables,45,27.89
CAGAYAN,ABULUG,Other leafy vegetables,25,11.29
CAGAYAN,ABULUG,Other poultry,2,0
CAGAYAN,ABULUG,Pigeons,1,0
CAGAYAN,ABULUG,Pigs or swine,413,0
CAGAYAN,ABULUG,Pineapple,3,2.5
CAGAYAN,ABULUG,Pomelo (suha),1,0.4
CAGAYAN,ABULUG,Potato (patatas),1,0.1
CAGAYAN,ABULUG,Rambutan,5,2.84
CAGAYAN,ABULUG,Rice/Palay,4452,7333.64
CAGAYAN,ABULUG,Sheep,10,0
CAGAYAN,ABULUG,Squash (kalabasa),4,1.82
CAGAYAN,ABULUG,Tilapia,4,1.4
CAGAYAN,ABULUG,Turkeys,23,0
CAGAYAN,ALCALA,Ampalaya,1,0.17
CAGAYAN,ALCALA,Banana,2,1.35
CAGAYAN,ALCALA,Beans - dry,1,0.12
CAGAYAN,ALCALA,Bellpepper (Green/Red),1,0.25
CAGAYAN,ALCALA,Buffaloes (Carabaos),108,0
CAGAYAN,ALCALA,Cassava (kamoteng kahoy),1,0.5
CAGAYAN,ALCALA,Cattle,13,0
CAGAYAN,ALCALA,Chickens,92,0
CAGAYAN,ALCALA,Coconut,1,0.53
CAGAYAN,ALCALA,Corn,4290,5505.75
CAGAYAN,ALCALA,Ducks,51,0
CAGAYAN,ALCALA,Eggplant (talong),13,4.38
CAGAYAN,ALCALA,"Forage grass (sacate, alfalfa, green corn stalk)",1,0.5
CAGAYAN,ALCALA,Geese,6,0
CAGAYAN,ALCALA,Goats,45,0
CAGAYAN,ALCALA,Mahogany,1,0
CAGAYAN,ALCALA,Mango,4,2.62
CAGAYAN,ALCALA,Other crops for fiber production,1,0.1
CAGAYAN,ALCALA,Other Fish,26,2.31
CAGAYAN,ALCALA,Other fruit-bearing trees and vines,2,1.25
CAGAYAN,ALCALA,Other fruit-bearing vegetables,30,11.96
CAGAYAN,ALCALA,Other industrial crops,4,3.5
CAGAYAN,ALCALA,Other leafy vegetables,13,3.53
CAGAYAN,ALCALA,Other leguminous plants,2,0.75
CAGAYAN,ALCALA,Other temporary crops not reported elsewhere,1,5.05
CAGAYAN,ALCALA,Peanuts,3,2.25
CAGAYAN,ALCALA,Pigs or swine,74,0
CAGAYAN,ALCALA,Rice/Palay,4912,4719.44
CAGAYAN,ALCALA,Rubber,1,2
CAGAYAN,ALCALA,Sheep,5,0
CAGAYAN,ALCALA,Tilapia,28,8.08
CAGAYAN,ALCALA,Tobacco (native),4,2.05
CAGAYAN,ALCALA,Turkeys,8,0
CAGAYAN,ALCALA,Water melon,2,1
CAGAYAN,ALLACAPAN,Ampalaya,3,0.6
CAGAYAN,ALLACAPAN,Avocado,3,1.65
CAGAYAN,ALLACAPAN,Banana,882,969.63
CAGAYAN,ALLACAPAN,Beans - dry,1,0.5
CAGAYAN,ALLACAPAN,Buffaloes (Carabaos),1061,0
CAGAYAN,ALLACAPAN,Bush Sitao,3,0.16
CAGAYAN,ALLACAPAN,Cacao,18,7.84
CAGAYAN,ALLACAPAN,Camansi,1,1.5
CAGAYAN,ALLACAPAN,Camote tops (talbos ng kamote),1,0.25
CAGAYAN,ALLACAPAN,Cassava (kamoteng kahoy),8,3.09
CAGAYAN,ALLACAPAN,Cattle,51,0
CAGAYAN,ALLACAPAN,Chickens,1370,0
CAGAYAN,ALLACAPAN,Chili (labuyo),2,0.14
CAGAYAN,ALLACAPAN,Coconut,367,243.21
CAGAYAN,ALLACAPAN,Coffee - other varieties,3,1.8
CAGAYAN,ALLACAPAN,Common gourd (upo),1,0.01
CAGAYAN,ALLACAPAN,Corn,1137,1582.98
CAGAYAN,ALLACAPAN,Dogs and cats,2,0
CAGAYAN,ALLACAPAN,Dragon Fruit,5,1.48
CAGAYAN,ALLACAPAN,Ducks,728,0
CAGAYAN,ALLACAPAN,Eggplant (talong),11,3.59
CAGAYAN,ALLACAPAN,"Forage grass (sacate, alfalfa, green corn stalk)",1,2.8
CAGAYAN,ALLACAPAN,Gabi tubers,7,1.24
CAGAYAN,ALLACAPAN,Geese,62,0
CAGAYAN,ALLACAPAN,Ginger (luya),1,0
CAGAYAN,ALLACAPAN,Gmelina Arborea,4,1.95
CAGAYAN,ALLACAPAN,Goats,121,0
CAGAYAN,ALLACAPAN,Grapes (ubas),2,0.88
CAGAYAN,ALLACAPAN,Guinea Fowls,1,0
CAGAYAN,ALLACAPAN,Guyabano,2,0.75
CAGAYAN,ALLACAPAN,Hito/Catfish,51,18
CAGAYAN,ALLACAPAN,Horses,3,0
CAGAYAN,ALLACAPAN,Kalamansi,6,1.6
CAGAYAN,ALLACAPAN,Kidney Bean (Patani),1,0.04
CAGAYAN,ALLACAPAN,Lanzones,2,2
CAGAYAN,ALLACAPAN,Lemon,1,0.12
CAGAYAN,ALLACAPAN,Lime (Calamansi),14,7.62
CAGAYAN,ALLACAPAN,Lime (dayap),1,0.5
CAGAYAN,ALLACAPAN,Mahogany,1,1.5
CAGAYAN,ALLACAPAN,Mandarin (dalanghita),46,27.68
CAGAYAN,ALLACAPAN,Mango,12,5.61
CAGAYAN,ALLACAPAN,Mongo (Mung Bean),6,0.77
CAGAYAN,ALLACAPAN,Narra,1,1.5
CAGAYAN,ALLACAPAN,Okra,6,2.28
CAGAYAN,ALLACAPAN,Orange (dalandan),1,0.25
CAGAYAN,ALLACAPAN,Other Fish,130,17.35
CAGAYAN,ALLACAPAN,Other fruit-bearing trees and vines,38,61.5
CAGAYAN,ALLACAPAN,Other fruit-bearing vegetables,36,24.57
CAGAYAN,ALLACAPAN,Other industrial crops,1,0.25
CAGAYAN,ALLACAPAN,Other leafy vegetables,28,11.03
CAGAYAN,ALLACAPAN,Other tubers - roots and bulbs,7,1.23
CAGAYAN,ALLACAPAN,Patola,2,0.05
CAGAYAN,ALLACAPAN,Pechay,2,0.23
CAGAYAN,ALLACAPAN,Pigeons,2,0
CAGAYAN,ALLACAPAN,Pigs or swine,596,0
CAGAYAN,ALLACAPAN,Pineapple,91,74.18
CAGAYAN,ALLACAPAN,Pomelo (suha),1,0
CAGAYAN,ALLACAPAN,Potato (patatas),1,0.5
CAGAYAN,ALLACAPAN,Quail,2,0
CAGAYAN,ALLACAPAN,Rabbits and hares,2,0
CAGAYAN,ALLACAPAN,Rambutan,9,3.93
CAGAYAN,ALLACAPAN,Rice/Palay,4713,9020.88
CAGAYAN,ALLACAPAN,Rubber,1,0.25
CAGAYAN,ALLACAPAN,Santol,1,0.5
CAGAYAN,ALLACAPAN,Sheep,3,0
CAGAYAN,ALLACAPAN,Squash (kalabasa),7,0.52
CAGAYAN,ALLACAPAN,Starapple (caimito),1,0.25
CAGAYAN,ALLACAPAN,String beans - harvested green (sitao),15,1.05
CAGAYAN,ALLACAPAN,Sugarcane,2,0.45
CAGAYAN,ALLACAPAN,Taro,5,1.05
CAGAYAN,ALLACAPAN,Tilapia,63,11.83
CAGAYAN,ALLACAPAN,Tomato (kamatis),2,0.15
CAGAYAN,ALLACAPAN,Turkeys,54,0
CAGAYAN,ALLACAPAN,Ube,1,0.17
CAGAYAN,ALLACAPAN,Water melon,1,0.1
CAGAYAN,ALLACAPAN,Winged Bean (pallang),1,0.17
CAGAYAN,AMULUNG,Ampalaya,1,0.5
CAGAYAN,AMULUNG,Buffaloes (Carabaos),110,0
CAGAYAN,AMULUNG,Cattle,8,0
CAGAYAN,AMULUNG,Chickens,77,0
CAGAYAN,AMULUNG,Corn,5473,9294.64
CAGAYAN,AMULUNG,Ducks,23,0
CAGAYAN,AMULUNG,"Forage grass (sacate, alfalfa, green corn stalk)",2,2.4
CAGAYAN,AMULUNG,Geese,1,0
CAGAYAN,AMULUNG,Goats,22,0
CAGAYAN,AMULUNG,Green corn,1,1
CAGAYAN,AMULUNG,Hito/Catfish,1,0.05
CAGAYAN,AMULUNG,Other animals (e.g.,10,0
CAGAYAN,AMULUNG,Other Fish,7,3.17
CAGAYAN,AMULUNG,Other fruit-bearing trees and vines,2,1.07
CAGAYAN,AMULUNG,Other fruit-bearing vegetables,6,2.72
CAGAYAN,AMULUNG,Other industrial crops,1,0.5
CAGAYAN,AMULUNG,Other leafy vegetables,5,4.05
CAGAYAN,AMULUNG,Other poultry,12,0
CAGAYAN,AMULUNG,Other varieties of tobacco,2,1
CAGAYAN,AMULUNG,Pigs or swine,51,0
CAGAYAN,AMULUNG,Rice/Palay,5207,8094.39
CAGAYAN,AMULUNG,Sheep,2,0
CAGAYAN,AMULUNG,Sugarcane,1,2
CAGAYAN,AMULUNG,Tilapia,5,2
CAGAYAN,AMULUNG,Tobacco (native),14,13.33
CAGAYAN,AMULUNG,Turkeys,1,0
