source_file,sheet,province,district,municipality,year,program,commodity,office_function,tier_1,tier_2,activity,unit,physical_target,budget,length_km,allocation_method,source_note
all_programs_2027.xlsx,RICE,Cagayan,1,Camalaniugan,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Gattaran,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Gonzaga,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Lal-lo,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Santa Ana,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Santa Teresita,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Alcala,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Aparri,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Baggao,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Buguey,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Camalaniugan,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Gattaran,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Gonzaga,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Lal-lo,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Santa Ana,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Santa Teresita,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,2. Inorganic Fertilizers for Inbred Rice,20024.56,2002.46,4004.91,,ALL PROGRAMS 2027 municipality split,Promotion of Adoptive Balanced Fertilization to Inbred Rice Farmers | FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,2,Abulug,2027,Rice Program,RICE,"Extension Support, Education and Training Services",Technical Support Services,"Extension Support, Education and Training Services",Rice Farm Cluster Establishment,3,1.00,6400.00,,ALL PROGRAMS 2027 municipality split,"Support to Farmer Cooperatives and Associations in the production, processing and marketing of Well Milled Rice, Low GI Rice and Mabango Rice at Php35.00/kg or lower with the followin components: 1) Trading Capital-Php18.00/kg 2) Production Incentive-Php2.00/kg 3) Drying Incentive-Php1.00/kg 4) Milling Incentive-Php2.00/kg 5) Packaging Support-Php1.00/kg | FCA Cooperators are organizationally and financially capable and with existing and drying capacities | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency"""" "" | Food Security Plan"
all_programs_2027.xlsx,RICE,Cagayan,2,Claveria,2027,Rice Program,RICE,"Extension Support, Education and Training Services",Technical Support Services,"Extension Support, Education and Training Services",Rice Farm Cluster Establishment,3,1.00,6400.00,,ALL PROGRAMS 2027 municipality split,"Support to Farmer Cooperatives and Associations in the production, processing and marketing of Well Milled Rice, Low GI Rice and Mabango Rice at Php35.00/kg or lower with the followin components: 1) Trading Capital-Php18.00/kg 2) Production Incentive-Php2.00/kg 3) Drying Incentive-Php1.00/kg 4) Milling Incentive-Php2.00/kg 5) Packaging Support-Php1.00/kg | FCA Cooperators are organizationally and financially capable and with existing and drying capacities | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency"""" "" | Food Security Plan"
all_programs_2027.xlsx,RICE,Cagayan,2,Sanchez Mira,2027,Rice Program,RICE,"Extension Support, Education and Training Services",Technical Support Services,"Extension Support, Education and Training Services",Rice Farm Cluster Establishment,3,1.00,6400.00,,ALL PROGRAMS 2027 municipality split,"Support to Farmer Cooperatives and Associations in the production, processing and marketing of Well Milled Rice, Low GI Rice and Mabango Rice at Php35.00/kg or lower with the followin components: 1) Trading Capital-Php18.00/kg 2) Production Incentive-Php2.00/kg 3) Drying Incentive-Php1.00/kg 4) Milling Incentive-Php2.00/kg 5) Packaging Support-Php1.00/kg | FCA Cooperators are organizationally and financially capable and with existing and drying capacities | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency"""" "" | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Alcala,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,WHITE CORN PRODUCTION ENHANCEMENT PROJECT,100 ha,100.00,550.00,,ALL PROGRAMS 2027 municipality split,"Provision of 20 kg OPV Glutonous corn seeds and 2 bags inorganic fertilizers per hectare to white corn cluster areas. A total of 1,500 ha target to be distributed during the wet season 2027 and dry season 2027-2028. | OPV Glutinous Seeds - NSIC Registered Varieties Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Alcala,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,RECOMMENDED CORN PRODUCTION TECHNOLOGIES (RCPT),100 ha,100.00,3107.50,,ALL PROGRAMS 2027 municipality split,"Provision of 25 kg OPV Glutinous corn seeds, 11 bags inorganic fertilizers, 6 packs Bio-N and 10 bags agricultural lime per hectare to white corn cluster areas. A total of 300 ha target to be established during the dry season 2027-2028. | OPV Glutinous Seeds - NSIC Registered Varieties Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,2,Lasam,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,RECOMMENDED CORN PRODUCTION TECHNOLOGIES (RCPT),300 ha,300.00,14610.00,,ALL PROGRAMS 2027 municipality split,"Provision of 27 kg GM Hybrid corn seeds, 11 bags inorganic fertilizers, 6 packs Bio-N and 10 bags agricultural lime per hectare to yellow corn cluster areas. A total of 300 ha target to be established during the dry season 2027-2028. | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Alcala,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,YELLOW CORN PRODUCTION ENHANCEMENT PROJECT,455 ha,75.83,1137.50,,ALL PROGRAMS 2027 municipality split,"Provision of 18 kg GM Hybrid corn seeds and 1 bag inorganic fertilizers per hectare to yellow corn areas. A total of 3,600 ha in the Provinces of Cagayan, Isabela, Nueva Vizcaya and Quirino | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Aparri,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,YELLOW CORN PRODUCTION ENHANCEMENT PROJECT,455 ha,75.83,1137.50,,ALL PROGRAMS 2027 municipality split,"Provision of 18 kg GM Hybrid corn seeds and 1 bag inorganic fertilizers per hectare to yellow corn areas. A total of 3,600 ha in the Provinces of Cagayan, Isabela, Nueva Vizcaya and Quirino | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Baggao,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,YELLOW CORN PRODUCTION ENHANCEMENT PROJECT,455 ha,75.83,1137.50,,ALL PROGRAMS 2027 municipality split,"Provision of 18 kg GM Hybrid corn seeds and 1 bag inorganic fertilizers per hectare to yellow corn areas. A total of 3,600 ha in the Provinces of Cagayan, Isabela, Nueva Vizcaya and Quirino | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Camalaniugan,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,YELLOW CORN PRODUCTION ENHANCEMENT PROJECT,455 ha,75.83,1137.50,,ALL PROGRAMS 2027 municipality split,"Provision of 18 kg GM Hybrid corn seeds and 1 bag inorganic fertilizers per hectare to yellow corn areas. A total of 3,600 ha in the Provinces of Cagayan, Isabela, Nueva Vizcaya and Quirino | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Gattaran,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,YELLOW CORN PRODUCTION ENHANCEMENT PROJECT,455 ha,75.83,1137.50,,ALL PROGRAMS 2027 municipality split,"Provision of 18 kg GM Hybrid corn seeds and 1 bag inorganic fertilizers per hectare to yellow corn areas. A total of 3,600 ha in the Provinces of Cagayan, Isabela, Nueva Vizcaya and Quirino | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
all_programs_2027.xlsx,CORN,Cagayan,1,Lal-lo,2027,Corn Program,CORN,Production Support Services,Technical Support Services,Production Support Services,YELLOW CORN PRODUCTION ENHANCEMENT PROJECT,455 ha,75.83,1137.50,,ALL PROGRAMS 2027 municipality split,"Provision of 18 kg GM Hybrid corn seeds and 1 bag inorganic fertilizers per hectare to yellow corn areas. A total of 3,600 ha in the Provinces of Cagayan, Isabela, Nueva Vizcaya and Quirino | GM Hybrid Seeds - NSIC Registered Varieties - Preferred by farmers and resistant to FAW - Tested in Region 02 thru corn derby Inorganic Fertilizers - FPA Regsistered - Tested in Research Trials and Technology Fora in Region 02 | Food Security Plan"
