province,municipality,district,rsba_registry_count,rsba_crop_area_ha,rsba_avg_age,rsba_latitude,rsba_longitude,rsba_rice_count,rsba_rice_area_ha,rsba_corn_count,rsba_corn_area_ha,rsba_hvc_count,rsba_hvc_area_ha,rsba_top_crop,rsba_top_crop_count,rsba_male_count,rsba_female_count,rsba_female_pct,rsba_youth_count,rsba_youth_pct,rsba_millennial_count,rsba_senior_count,rsba_farmer_count,rsba_farmworker_count,rsba_fisherfolk_count,rsba_ip_count,rsba_pwd_count,rsba_4ps_count,rsba_fca_count,rsba_fca_pct,rsba_agriyouth_count,rsba_arb_count,rsba_organic_count,rsba_with_imc_count,rsba_imc_pct,rsba_rice_share_pct,rsba_corn_share_pct,rsba_fca_gap_pct,rsba_imc_gap_pct
ISABELA,AURORA,5TH,9037,5875.9,53.6,16.990556000001593,121.63916700000057,1917,3399.73,1436,2053.44,735,422.73,Rice/Palay,1917,4909,4128,45.7,275,3,2437,2834,2993,4631,1605,34,34,254,225,2.5,2,4885,14,1383,15.3,21.2,15.9,97.5,84.7
ISABELA,BENITO SOLIVEN,2ND,5902,12134.1,50.4,16.984721999996307,121.96138900000831,4104,2890.95,5134,7774.19,3876,1468.96,Corn,5134,3434,2468,41.8,256,4.3,2002,1527,5507,898,346,12,51,728,657,11,0,1404,274,3935,66.7,69.5,87,88.9,33.3
ISABELA,BURGOS,5TH,5678,5808.22,52.8,17.068056000000666,121.69361099999513,2346,4993.85,496,757.93,75,56.44,Rice/Palay,2346,3124,2554,45,290,5,1545,1787,2546,2664,796,77,51,445,203,3.6,2,2972,98,1481,26.1,41.3,8.7,96.4,73.9
ISABELA,CABAGAN,1ST,8036,9725.35,50.9,17.426389000000174,121.764999999985,3056,3363.98,4177,6249.23,1633,112.13,Corn,4177,5479,2557,31.8,491,6,2690,2145,5576,3437,609,3080,77,1294,783,9.7,0,2702,178,2497,31.1,38,52,90.3,68.9
ISABELA,CABATUAN,3RD,7468,6675.43,51.5,16.954167000001565,121.66972200001298,4094,5737.83,524,633.74,764,303.85,Rice/Palay,4094,4158,3310,44.3,676,9,1921,2296,4588,3139,637,23,78,341,647,8.7,0,3115,21,3154,42.2,54.8,7,91.3,57.8
ISABELA,CITY OF CAUAYAN,6TH,16449,23899.39,50.9,16.934166999999636,121.76666700001034,8366,12359.84,6446,10896.67,705,642.88,Rice/Palay,8366,9504,6945,42.2,840,5,5207,4608,11679,5039,1355,405,207,708,1554,9.4,1,5352,68,6551,39.8,50.9,39.2,90.6,60.2
ISABELA,CITY OF SANTIAGO,4TH,9548,9833.33,54.3,16.6875,121.54472199999148,5484,9089.81,308,439.37,1263,304.15,Rice/Palay,5484,4837,4711,49.3,352,3.7,2265,3292,5691,4365,500,441,151,425,2993,31.3,0,4614,34,3586,37.6,57.4,3.2,68.7,62.4
ISABELA,CORDON,4TH,8813,10241.38,51.3,16.673888999998443,121.46611099998168,4232,5348.85,2983,4216.58,4999,675.95,Rice/Palay,4232,4666,4147,47.1,439,5,2738,2416,6145,3117,1356,1511,96,830,1461,16.6,1,2884,32,3320,37.7,48,33.8,83.4,62.3
ISABELA,DELFIN ALBANO MAGSAYSAY,1ST,7001,11846.95,51.4,17.304443999998274,121.44555599999336,3917,8817.03,1560,2971.05,194,58.86,Rice/Palay,3917,4214,2787,39.8,485,6.9,1951,2036,4505,2215,439,48,90,608,823,11.8,0,3232,45,2331,33.3,55.9,22.3,88.2,66.7
ISABELA,DINAPIGUE,4TH,1727,592.22,49.9,16.524721999999411,122.26305599999803,408,427.03,48,80.47,416,84.71,Rice/Palay,408,1050,677,39.2,75,4.3,652,386,989,40,729,127,8,114,236,13.7,0,276,2,318,18.4,23.6,2.8,86.3,81.6
ISABELA,DIVILACAN,1ST,1505,542.53,50.4,17.329721999999641,122.29611100000191,558,518.79,12,13.8,699,9.95,Rice/Palay,558,1151,354,23.5,39,2.6,557,340,564,495,934,314,21,254,133,8.8,0,297,260,704,46.8,37.1,0.8,91.2,53.2
ISABELA,ECHAGUE,6TH,14244,18480.39,51.3,16.71666699999404,121.68333300000928,7002,9499.26,5040,7634.98,3318,1346.16,Rice/Palay,7002,8702,5542,38.9,719,5,4349,4040,9627,5694,1413,2030,199,995,844,5.9,0,5323,205,5650,39.7,49.2,35.4,94,60.3
ISABELA,GAMU,2ND,6556,6700.42,52.2,17.047221999997355,121.83333299998496,2203,5150.44,1067,1501.02,259,48.96,Rice/Palay,2203,3831,2725,41.6,390,5.9,1720,1932,2854,2769,1367,178,54,537,366,5.6,1,3381,32,1331,20.3,33.6,16.3,94.4,79.7
ISABELA,ILAGAN CITY Capital,1ST,21300,24632.73,52.3,17.14416700000417,121.88888899997553,9586,9529.18,11443,14786.76,324,316.79,Corn,11443,14206,7094,33.3,635,3,6123,6222,14815,5065,2923,223,153,1349,4302,20.2,0,4781,53,7860,36.9,45,53.7,79.8,63.1
ISABELA,JONES,4TH,8877,14918.67,54.5,16.559166999999679,121.70361099998709,3975,3351.36,5388,9611.21,9642,1956.1,Corn,5388,5733,3144,35.4,205,2.3,2238,2934,6365,3800,1194,268,49,532,3882,43.7,0,1814,42,3259,36.7,44.8,60.7,56.3,63.3
ISABELA,LUNA,5TH,4402,3176.73,53.7,16.968332999998783,121.7291669999979,1459,2523.3,481,633.6,37,19.83,Rice/Palay,1459,2404,1998,45.4,148,3.4,1109,1435,1687,2730,1002,24,44,258,378,8.6,1,2459,12,1063,24.1,33.1,10.9,91.4,75.9
ISABELA,MACONACON,1ST,1557,546.82,50.1,17.389167000000388,122.23972199999909,482,540.25,3,4.25,37,2.32,Rice/Palay,482,1021,536,34.4,40,2.6,598,398,483,201,1025,97,49,131,210,13.5,0,404,2,394,25.3,31,0.2,86.5,74.7
ISABELA,MALLIG,5TH,9088,8117.32,50.4,17.211389000001525,121.61111099997605,3408,6987.01,652,1032.16,426,98.15,Rice/Palay,3408,5019,4069,44.8,713,7.8,2761,2522,3778,5566,290,397,90,946,1056,11.6,0,5918,161,2244,24.7,37.5,7.2,88.4,75.3
ISABELA,NAGUILIAN,2ND,4879,9593,53.6,17.023056000002693,121.83499999998651,3338,3706.84,3318,5432.62,1687,453.55,Rice/Palay,3338,3154,1725,35.4,83,1.7,1297,1530,4257,1921,412,15,40,530,182,3.7,0,694,17,2933,60.1,68.4,68,96.3,39.9
ISABELA,PALANAN,2ND,5311,2927.54,52.9,17.062778000002076,122.4291669999966,2406,2303.1,582,585.91,681,38.53,Rice/Palay,2406,3571,1740,32.8,206,3.9,1591,1614,3668,1403,974,54,36,1032,92,1.7,0,2133,679,2175,41,45.3,11,98.3,59
ISABELA,QUEZON,5TH,5162,8495.7,51.8,17.311388999998297,121.60583300000782,2936,6695.96,814,1377.1,1101,421.12,Rice/Palay,2936,3099,2063,40,255,4.9,1571,1455,3113,1589,538,576,57,283,1192,23.1,26,2437,103,1893,36.7,56.9,15.8,76.9,63.3
ISABELA,QUIRINO,5TH,7362,5549.13,52.2,17.1527780000004,121.75527800001457,2863,4611.85,757,911.6,550,25.69,Rice/Palay,2863,4455,2907,39.5,326,4.4,2220,2100,3021,3932,896,11,29,750,370,5,62,4117,23,2104,28.6,38.9,10.3,95,71.4
ISABELA,RAMON,3RD,10354,8918.5,50.9,16.781389000002562,121.5349999999877,4418,8546.62,142,238,761,133.88,Rice/Palay,4418,5702,4652,44.9,636,6,3195,2848,4508,6370,2715,446,188,533,678,6.5,0,5966,30,2780,26.8,42.7,1.4,93.5,73.2
ISABELA,REINA MERCEDES,2ND,5182,3262.74,53.9,16.987500000001919,121.81861099999315,1233,1343.06,1523,1753.76,1371,165.91,Corn,1523,2870,2312,44.6,138,2.7,1458,1601,2321,2605,860,517,39,396,175,3.4,0,2078,62,1002,19.3,23.8,29.4,96.6,80.7
ISABELA,ROXAS,5TH,10475,9154.12,51.2,17.121666999999654,121.61972200001023,3957,7244.37,1444,1816.49,304,93.27,Rice/Palay,3957,6171,4304,41.1,663,6.3,3075,2837,5267,5326,201,263,75,792,428,4,3,5811,15,2803,26.8,37.8,13.8,95.9,73.2
ISABELA,SAN AGUSTIN,4TH,4996,8929.53,55,16.506667000001492,121.74750000003496,2617,2477.24,3221,5463.95,5431,988.34,Corn,3221,3180,1816,36.3,119,2.4,1245,1676,3878,2810,633,202,146,442,372,7.4,0,1697,1360,3115,62.3,52.4,64.5,92.6,37.7
ISABELA,SAN GUILLERMO,6TH,6468,11053.99,47.7,16.719722000002246,121.80861099997851,3100,1932.57,4127,6589.83,6075,2531.58,Corn,4127,3826,2642,40.8,911,14,2313,1183,4448,4003,471,499,88,1315,2452,37.9,0,1982,27,2861,44.2,47.9,63.8,62.1,55.8
ISABELA,SAN ISIDRO,6TH,5589,4677.51,52.4,16.734167000001172,121.63361100001423,2861,4536.44,83,110.11,301,30.96,Rice/Palay,2861,3185,2404,43,308,5.5,1517,1710,2944,2708,334,52,65,398,577,10.3,1,2904,47,1985,35.5,51.2,1.5,89.7,64.5
ISABELA,SAN MANUEL,5TH,7304,6114.67,53.3,17.022221999999715,121.63166700000507,2699,5745.75,199,349.47,857,19.46,Rice/Palay,2699,3976,3328,45.6,329,4.5,1977,2221,2886,4393,123,38,70,737,513,7,0,4943,19,1752,24,37,2.7,93,76
ISABELA,SAN MARIANO,2ND,17846,24936,48,16.983611000001659,122.01277799998748,4871,3107.98,9405,16434.41,8115,5393.62,Corn,9405,10297,7549,42.3,2078,11.6,6393,3527,9930,6229,1873,1703,185,4248,1384,7.8,1,5950,78,4343,24.3,27.3,52.7,92.2,75.7
ISABELA,SAN MATEO,3RD,8618,9381.82,55.2,16.881110999997389,121.58777799999737,5019,8867.86,222,315.76,2267,195.7,Rice/Palay,5019,4981,3637,42.2,663,7.7,1743,3186,5171,2654,1371,43,112,403,1343,15.6,0,3511,125,3495,40.6,58.2,2.6,84.4,59.4
ISABELA,SAN PABLO,1ST,5562,6647.16,50.6,17.448332999997334,121.79527799997935,1661,1477.88,3731,5140.33,1018,28.95,Corn,3731,3514,2048,36.8,398,7.2,1847,1475,4163,3719,147,3545,53,1036,298,5.4,0,1638,52,1269,22.8,29.9,67,94.6,77.2
ISABELA,SANTA MARIA,1ST,6442,4306.6,49,17.471389000000539,121.75249999997543,1485,2001.5,1562,2025,1369,280.1,Corn,1562,3290,3152,48.9,1045,16.2,2023,1438,2174,3823,397,4465,100,1372,148,2.3,0,3569,11,1135,17.6,23.1,24.2,97.7,82.4
ISABELA,SANTO TOMAS,1ST,5962,6771.94,53.9,17.399722000001333,121.7658329999832,2442,3644.7,2592,3083.32,1166,43.92,Corn,2592,3094,2868,48.1,166,2.8,1651,1943,4040,2240,288,1908,48,684,338,5.7,0,2388,86,1964,32.9,41,43.5,94.3,67
ISABELA,TUMAUINI,1ST,11368,14393.69,50.8,17.273889000002072,121.80972200001921,4617,6196.76,5211,8063.68,1216,133.26,Corn,5211,6615,4753,41.8,772,6.8,3617,2944,7723,3806,1290,2778,109,1081,742,6.5,2,2897,77,3607,31.7,40.6,45.8,93.5,68.3
NUEVA VIZCAYA,ALFONSO CASTANEDA,LONE,2237,1461.27,48.5,15.931900000000946,121.30839999999564,708,576.24,440,408.13,1104,476.91,Rice/Palay,708,1285,952,42.6,166,7.4,795,474,1328,764,234,858,53,387,273,12.2,0,660,17,581,26,31.6,19.7,87.8,74
NUEVA VIZCAYA,AMBAGUIO,LONE,4818,2870.52,46.2,16.57939999999962,121.0563999999971,1158,658.06,60,17.24,6446,2195.23,Tomato (kamatis),1270,2634,2184,45.3,605,12.6,2176,697,3468,1522,173,4483,56,1247,587,12.2,5,1531,189,1131,23.5,24,1.2,87.8,76.5
NUEVA VIZCAYA,ARITAO,LONE,6639,5188.76,52.5,16.297221999997259,121.03388899998394,3631,4069.08,68,54.02,2203,1065.65,Rice/Palay,3631,3808,2831,42.6,457,6.9,1745,2161,4562,3682,362,974,157,456,1506,22.7,0,2798,384,2614,39.4,54.7,1,77.3,60.6
NUEVA VIZCAYA,BAGABAG,LONE,6698,5867.52,52.9,16.604443999997848,121.25222200000708,2714,3570.33,1336,1702.56,2333,594.63,Rice/Palay,2714,3608,3090,46.1,660,9.9,1531,2213,3621,3184,798,419,117,377,1699,25.4,42,2847,118,1901,28.4,40.5,19.9,74.6,71.6
NUEVA VIZCAYA,BAMBANG,LONE,7846,6631.73,53.8,16.40410000000464,121.10229999998592,3799,4502.74,759,881.65,5060,1247.33,Rice/Palay,3799,4396,3450,44,497,6.3,2043,2544,4818,3178,452,1108,114,725,2070,26.4,0,3225,281,3126,39.8,48.4,9.7,73.6,60.2
NUEVA VIZCAYA,BAYOMBONG Capital,LONE,4781,4657.29,52.9,16.480400000000351,121.14809999999284,2697,2872.81,967,860.03,3563,924.45,Rice/Palay,2697,2798,1983,41.5,270,5.6,1237,1539,3594,1580,573,990,38,438,1319,27.6,0,1360,191,2235,46.7,56.4,20.2,72.4,53.3
NUEVA VIZCAYA,DIADI,LONE,4226,5607.47,51.1,16.660000000001858,121.36861100000736,903,646.75,2328,3617.41,5700,1343.31,Corn,2328,2390,1836,43.4,313,7.4,1478,980,3027,1622,323,1442,62,725,818,19.4,0,1099,88,723,17.1,21.4,55.1,80.6,82.9
NUEVA VIZCAYA,DUPAX DEL NORTE,LONE,5357,5330.3,53.9,16.307499999998278,121.10194399999607,2591,2559.04,226,129.57,4178,2641.69,Rice/Palay,2591,3011,2346,43.8,193,3.6,1481,1769,3627,2464,323,1325,57,494,1749,32.6,0,1968,66,1956,36.5,48.4,4.2,67.4,63.5
NUEVA VIZCAYA,DUPAX DEL SUR,LONE,5133,5379.43,50.6,16.284167000002011,121.09166699998283,2671,2179.81,44,29.49,5021,3170.14,Rice/Palay,2671,2987,2146,41.8,473,9.2,1600,1308,4072,2092,221,3056,105,688,2334,45.5,49,1175,225,2298,44.8,52,0.9,54.5,55.2
NUEVA VIZCAYA,KASIBU,LONE,8959,10763.13,48.7,16.366600000002968,121.33130000003278,5177,3283.71,1822,992.92,16732,6486.51,Rice/Palay,5177,4906,4053,45.2,637,7,3450,1768,7737,5123,592,7100,179,1918,3809,42.5,3,1972,536,4801,53.6,57.8,20.3,57.5,46.4
NUEVA VIZCAYA,KAYAPA,LONE,8585,4109.73,48.9,16.493299999999056,120.94170000002033,1742,965.77,104,47.6,12862,3096.36,Chickens,2672,4937,3648,42.5,1029,12,3175,1785,6203,4333,185,7671,102,2217,2975,34.7,64,2119,419,1362,15.9,20.3,1.2,65.3,84
NUEVA VIZCAYA,QUEZON,LONE,4403,5502.23,52.1,16.457800000001573,121.28549999999842,2075,1641.92,1776,1992.28,6104,1868.02,Rice/Palay,2075,2224,2179,49.5,174,4,1304,1265,3134,1719,654,1135,92,473,700,15.9,0,1323,85,1757,39.9,47.1,40.3,84,60.1
NUEVA VIZCAYA,SANTA FE,LONE,3902,2952.91,48.7,16.18979999999814,120.87289999999336,1264,974.57,32,18.9,3746,1959.44,Rice/Palay,1264,2229,1673,42.9,446,11.4,1324,887,2975,2042,223,2841,58,926,1020,26.1,5,810,66,1123,28.8,32.4,0.8,73.9,71.2
NUEVA VIZCAYA,SOLANO,LONE,8309,5815.7,53,16.527100000003621,121.18250000001419,4203,4553.9,828,897.42,1678,364.39,Rice/Palay,4203,4779,3530,42.5,734,8.8,1980,2801,4816,4364,405,532,151,615,1760,21.2,2,3549,90,3428,41.3,50.6,10,78.8,58.7
NUEVA VIZCAYA,VILLAVERDE,LONE,5299,3929.02,49.8,16.606666999999444,121.18277800001029,2276,2541.75,803,1000.73,2759,386.54,Rice/Palay,2276,2774,2525,47.7,1055,19.9,1304,1325,2911,2501,366,716,47,353,1028,19.4,0,2562,118,1952,36.8,43,15.2,80.6,63.2
QUIRINO,AGLIPAY,LONE,8228,9733.07,50.8,16.488889000000146,121.58722199995897,3610,3261.82,3257,4497.46,3662,1973.79,Rice/Palay,3610,4617,3611,43.9,582,7,2756,2160,4887,4430,856,2124,95,1086,988,12,0,2981,271,3432,41.7,43.9,39.6,88,58.3
